Serial_Number,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity
11,HMDB00162,Proline,PRO,"N,O-Bis-(trimethylsilyl)proline",259,20.977,1294,41.1 43.1 44.1 45.1 47 55.1 57.1 58.1 59.1 66.1 70.1 72.1 73.1 74.1 75 81 82 83 84 85 86.15 86.85 88.05 88.95 91.05 92.15 93.05 93.85 94.05 95.05 95.85 96.15 96.95 98.05 99.05 100.05 100.85 102.05 103.05 104.95 107.05 111.05 111.45 112.15 113.15 114.65 114.95 116.15 117.05 118.95 123.95 126.15 127.15 128.05 128.75 130.05 131.1 132 133.1 134 135.1 138.1 140 142.1 143.1 144.1 145.1 146 147.1 148.1 149.1 158.1 170.1 171.1 175 206.95 216.15 217.15 217.95 219.05 230.1 244.1,8240 16240 9509 36824 5100 3890 3937 5403 11106 5547 3345 7276 102888 8821 10726 322 447 1075 1319 1210 1062 577 254 218 159 173 350 319 322 216 218 231 474 1268 1508 2953 1856 855 718 516 414 180 186 315 935 1030 1032 330 1052 257 268 528 905 522 194 274 1387 366 1819 324 226 207 974 113328 13907 4223 420 182 10516 1429 689 384 1159 156 471 345 7227 1531 601 243 255 465
12,HMDB00123,Glycine,GLY,"Glycine, 3TMS",291,21.108,1300,43.1 44.1 45.1 58.1 59.1 73.1 74.1 75.1 81.4 82.1 83 84 85.1 86.05 87.05 88.05 89.05 89.75 90.95 92.95 94.15 94.95 95.85 97.15 98.15 100.05 101.05 102.05 103.05 103.95 104.95 105.95 111.05 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.85 122.85 128.05 129.15 130.05 131.1 132.1 133.1 134.1 135.1 136 142 143.1 144.1 145.1 147.1 148.1 149 150.1 151.1 158.1 159 160.1 161 162 172 174.1 175.1 176.1 177.15 178.15 178.85 186.05 186.95 188.05 189.05 190.05 191.15 191.95 202.15 203.15 204.15 205.05 206.05 207.05 217.95 246.1 248.1 249.1 250.1 251.1 252.1 276.15 277.15 278.15 279.15,36896 24600 142144 15130 81824 414976 36064 28304 211 420 971 1572 3433 92240 10613 3735 665 179 375 356 305 820 277 362 668 54608 13217 6505 4948 1091 1728 203 211 2083 2196 4115 6439 16704 2466 4351 617 342 164 408 964 12020 13106 3714 44560 6386 2787 442 325 181 4421 1003 92720 13183 6830 811 196 7217 2253 2142 758 159 3593 347776 64736 26160 4108 770 186 185 297 3832 1151 1002 388 182 1980 416 1855 497 197 422 336 2079 44600 11539 5840 777 293 9761 2125 1151 354
13,HMDB00187,Serine,SER,"N,o,o'-Tris-(trimethylsilyl)serine",321,22.093,1350,43.1 44.1 45.1 47 58.1 59 73.1 74 75 83.1 84 85 85.95 87.05 88.05 89.05 92.15 92.95 93.85 96.95 97.95 99.05 100.05 101.15 102.05 103.05 104.05 105.15 113.05 114.05 115.05 116.05 117.05 118.05 119.05 128.05 129.95 131.1 132 133.1 134.1 135 143 144.1 145.9 147.1 148.1 149 158.1 160.1 162.7 172 174 174.7 175.2 188.15 189.05 190.05 191.15 204.15 205.15 206.05 207.05 216.05 218.05 219.05 220.15 221.05 278.15 279.15 280.15 281.05 306.05 307.05,5995 6089 17600 3123 2935 5511 67480 6097 9478 170 437 542 670 724 1009 943 195 164 243 191 291 276 11890 2254 926 2774 292 394 321 1326 1168 2704 1681 316 665 254 659 1344 1322 2776 509 290 229 241 150 7426 1214 642 316 266 156 545 843 156 266 3620 1021 513 228 32664 5795 2685 594 698 16294 3241 1175 296 1260 235 193 206 647 265
14,HMDB00167,Threonine,THR,threonine 3TMS,335,22.588,1374,43.1 44.1 45.1 47.1 57.1 58.1 59.1 73.1 74.1 75 80.8 82.1 83 84 85 86.05 87.05 88.15 88.95 90.95 93.05 94.05 94.95 95.95 97.15 98.05 98.95 100.05 101.05 102.15 103.05 104.05 105.05 109.95 110.95 112.05 112.95 114.05 115.05 116.05 117.05 118.05 119.05 120.05 126.15 127.05 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135.1 136 140.1 142.1 143 144.1 145.1 147.1 148.1 149.1 150 156 157.2 158.1 159.1 160 161 162.1 163.1 172.1 173 174 175.1 176.1 177.05 177.95 186.15 187.15 188.15 189.15 190.05 191.15 192.05 193.05 202.05 203.05 204.05 205.15 206.05 206.95 215.95 218.05 219.05 220.05 221.05 222.2 223.2 230.2 231.1 232.3 248.1 276.25 291.15 292.15 293.15 294.15 295.15 320.1 321.2 322.2,19984 16005 71200 9058 37944 8741 22928 316544 29680 34768 208 374 393 2443 1768 6119 3342 871 460 232 319 189 324 427 524 1784 996 23384 42472 7529 5843 963 665 246 384 965 896 6899 4854 2198 68504 8637 4236 377 177 410 7281 6970 5553 6958 7887 9543 2205 1051 261 199 272 268 1339 393 25864 4664 3345 346 284 232 1348 1247 2837 637 233 403 1246 260 1308 382 523 1003 215 1243 460 931 361 532 1441 312 385 4229 6580 2652 916 244 555 490 44896 36592 8410 3204 940 176 490 308 473 372 196 11466 7473 2614 1038 215 1440 426 227
15,HMDB00191,Aspartic acid,ASP,"N,N,o'-Tris-(trimethylsilyl)aspartic acid",349,25.095,1424,43 44 45 46 47 58 59 70 73 74 75 84 86 98.05 98.95 99.95 101.05 101.95 102.95 114.95 115.95 116.95 118.05 118.95 128.05 129.85 130.95 131.95 132.95 133.85 135 142 147 148 149 174 188.05 201.95 204.05 215.95 218.05 218.95 232 233 234.1 305.95,11699 6232 33304 2631 7311 4745 8197 2272 108368 11084 19936 770 1348 1166 1143 20840 3006 1127 1667 1659 778 2557 623 797 772 2523 1526 1416 4330 660 514 1370 8320 1771 1492 992 1554 1533 996 1103 2669 621 10873 2699 989 799
16,NA,malic acid,NA,malic acid,NA,NA,1474,43 44 45 46.9 55 58 59 73 74 75 84.9 86.8 98.85 100.95 102.05 103.05 114.85 116.05 116.95 118.95 128.95 130.95 132.95 133.85 135 143 147 148 149 150.9 171 174.9 176 177 189.15 190.05 191.05 192.05 203.05 204.85 217.05 218.95 220.95 233 234.1 235.1 245 246 247.1 265 305.25 306.05 307.05 319.05 335.1 336.1,8790 5541 26784 5785 12334 3507 8715 103248 8931 15383 744 520 985 8307 749 1383 1139 648 2318 934 995 2721 11267 1270 771 1010 30568 4916 3417 566 1715 5028 771 2820 3373 3677 3021 628 654 539 2205 523 905 5939 1503 562 4533 842 969 1184 553 650 1109 703 1741 612 
17,HMDB00267,Pyroglutamic acid,PYR,"Pyroglutamic acid, bis(trimethylsilyl)ester",273,25.274,1533,41.1 42.1 43.1 44 45.1 47.1 55.1 57.1 58.1 59.1 72.1 73.1 74.1 75.1 81.1 81.9 83.1 84 85.1 86.05 86.95 87.95 90.95 93.65 95.15 96.05 97.15 98.05 99.05 100.15 100.95 101.85 102.15 103.05 105.05 110.25 111.15 112.15 113.15 114.15 115.05 116.05 116.95 117.95 119.05 121.55 123.65 126.05 127.05 127.85 129.05 131 133.1 133.9 135.1 139 140 141.2 142 147.1 148.1 149 149.9 154.2 156.1 157.1 158.1 159.1 206.95 213.85 221.15 228.1 230.1 231 232.1 258.1 259 260.1,4762 2040 10476 7366 23416 3611 3567 2279 5071 5699 3475 68064 5859 9291 168 361 612 1461 1306 1951 448 256 165 461 192 203 330 719 585 1079 309 203 209 392 377 206 185 1470 507 589 391 196 712 201 312 800 155 200 153 151 318 996 1769 253 156 179 1015 520 292 10170 1310 785 213 241 44616 6027 2179 181 289 206 254 251 3740 798 184 2315 595 191
18,HMDB00562,Creatinine,CRE,"Creatinine, N,N,O-tris(trimethylsilyl)-",329,25.822,1551,41.1 42.1 43.1 44 45.1 56.1 57.1 59.1 72.1 73.1 74.1 75 82.1 83.1 84.1 85.1 86.05 87.05 88.05 89.05 93.05 95.05 96.15 97.15 98.05 99.15 100.05 101.15 102.15 103.05 105.05 111.05 111.85 113.05 114.15 115.05 116.15 117.05 118.25 119.05 125.05 125.95 128.05 129.05 130.05 131.2 132 133.2 139 140.1 141.1 142.2 143.1 144.1 145 147 148.1 155.1 155.9 157 158 159.1 171.1 172 173 186.15 187.15 188.25 198.95 201.05 207.15 207.95 215.05 241 256.2 314.2 315.1 316.1 329.2 330.2 331.1,2698 11798 5359 4777 16228 1640 2349 3946 2320 46816 3657 3866 197 496 1099 712 611 394 187 156 203 240 185 194 389 1399 13731 1346 612 232 205 258 224 710 2892 33648 4203 1725 195 187 155 249 432 250 964 883 275 278 211 162 298 350 4471 500 344 1608 284 381 259 398 456 196 4745 893 415 166 1318 368 154 157 331 203 219 518 182 1299 463 177 2239 619 376
19,HMDB00148,Glutamine,GLN,Can_be_Glutamic_acid_either,363,25.311,1606,41.1 43.1 44 45.1 47 55.1 56.1 57.1 58 59 73.1 74.1 75.1 77 81.1 81.9 82.3 83 84 85.1 86.85 89.15 91.25 94.95 96.05 97.05 98.15 99.15 100.05 101.15 102.05 103.05 104.95 112.05 113.05 114.15 115.15 116.05 116.95 119.95 128.05 129.05 130.05 131.1 132 133.1 134.2 135.1 140.1 141.2 147.1 148.1 149 155.1 156 157 158 158.9 170 186.15 204.05 205.15 206.95 218.05 219.05 230.1 246.1 247.2 248.2 258.1 348.1 363.15,3825 4084 6520 7066 3131 2405 3264 2243 1565 2122 26168 3254 8694 2757 281 202 202 852 5045 818 198 185 435 238 268 481 519 479 2540 439 284 587 288 306 563 539 549 446 635 172 4397 1206 645 574 335 1054 260 243 252 260 4645 621 975 155 1902 499 838 186 170 250 355 205 638 640 179 620 6453 1476 511 181 361 150
20,HMDB00159,Phenylalanine,PHE,Bis(trimethylsilyl)phenylalanine,309,27.007,1624,43.1 44.1 45.1 47.1 58.1 59.1 65.1 72.1 73.1 74.1 75 80 81 81.8 83.1 84 85 86.05 87.05 88.05 89.15 91.05 92.15 93.15 93.95 95.05 95.85 97.05 98.05 100.05 101.05 102.05 103.05 104.05 105.05 106.05 107.15 107.95 108.75 110.15 113.15 114.05 115.15 116.05 117.05 118.15 119.05 120.15 121.05 121.95 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135.1 136.1 137.2 143.1 144.1 145 147.1 148 149.1 150 151 157 158.1 159 160 161 162 163 164 172.1 174.1 174.8 176 177.05 178.05 188.25 190.15 192.15 193.15 194.15 195.15 202.05 203.15 204.05 205.05 206.05 207.05 218.05 219.05 220.05 221.05 222.3 266.1 267.1 268.05 269.05 278.05 294.15 295.05,22128 16880 74976 8570 9348 16512 11742 6965 261120 24032 28096 404 468 300 626 1071 868 3943 928 367 2618 37088 5170 993 355 401 152 251 765 34648 5886 2963 6107 1637 2139 451 594 186 151 159 231 308 1890 1021 3242 1350 1651 1038 1695 277 353 483 4114 4021 5289 4907 1184 1493 266 224 240 501 715 22592 3870 2514 328 187 172 576 711 2962 1049 1359 797 173 268 1300 425 1993 1917 468 286 825 81040 14705 3903 423 288 1765 1564 545 198 398 74624 14081 5820 982 184 4597 1587 298 178 185 902 250
