Serial_Number,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity
21,HMDB00508,Ribitol,RIB,"Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-",512,28.26,1758,41.1 43.1 44.1 45.1 59.1 73.1 74.1 75 80 80.9 82 83 83.8 84.2 85 86.15 87.15 88.05 89.05 89.85 91.05 95.15 96.05 97.05 98.05 99.15 100.05 101.05 102.05 103.15 103.85 105.05 110.15 111.15 112.05 113.15 114.05 115.05 115.95 117.05 118.05 118.95 124.05 126.15 127.15 128.05 129.05 130.05 131.1 132.1 133.1 134.1 140.1 142.1 143.1 144.1 145.1 146.1 147.1 148.1 149.1 154.1 156.1 158.2 160.1 161 169.1 172.1 174.1 175.1 176.1 186.15 187.05 188.05 189.15 191.15 198.25 200.15 201.15 202.15 203.15 204.15 207.05 208.05 214.15 215.05 216.15 217.15 218.15 219.05 219.95 221.05 241.2 258.1 259.1 260.4 303.15 420.2,2592 4511 4607 9381 5766 57936 5577 4816 215 169 238 438 176 185 877 4434 666 468 151 209 178 193 184 341 639 601 4228 755 2852 853 243 160 493 173 1038 288 1712 1169 607 819 159 294 159 683 411 1876 683 1802 1029 1147 1013 198 269 28192 3442 1542 388 845 3858 760 429 182 177 283 317 173 187 1256 12555 2207 1098 461 235 313 550 338 220 2539 576 459 436 423 322 202 1274 383 1230 449 651 230 160 169 242 434 455 173 222 286
22,NA,Benzoic acid,NA,benzoic acid,NA,NA,1249,43.1 45.2 73.1 74.1 75.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 89.1 90.1 91.1 92.15 93.15 94.15 95.15 96.15 97.15 98.15 99.05 100.15 101.15 102.15 103.05 104.15 105.15 106.05 107.15 108.15 109.05 110.05 111.15 113.05 115.05 116.15 117.05 118.15 119.05 120.05 121.05 122.05 123.15 124.05 126.05 129.05 131.05 133.05 134.05 135.05 136.05 137.05 138.05 139.05 141.1 143.1 145.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 155.1 157.1 158.1 159.1 161.1 162.2 163.1 164.1 165.1 166.1 167 168.1 175.1 177.1 179 180 181 182.1 183.1 191.15 193.15 194.15 195.15 196.15 197.05 205.15 207.05 208.05 209.05 210.05 210.95 221.05 223.15 224.15 225.05 226.05 227.15 237.05 238.05 239.1 251.1 252 253.1 265.1 267.1 268.1 269.1 270.1 271.1 281.2 282.1 283.1 284.1 285.1,83624 244992 1115648 111928 142464 2810 10503 7570 20712 6638 24120 2466 6587 64288 27240 102560 60760 25584 3909 20104 10795 9121 4364 4938 1006 2811 3683 34280 34616 43656 6663 15953 3076 10957 2401 16295 1418 11032 2172 10844 18032 30736 20168 32872 22328 10920 2049 135552 1550 14035 51656 12771 86696 13260 10156 1214 1050 854 2396 3775 50160 14135 66176 21784 79416 10832 3770 720 2505 574 616 2710 1823 14128 4198 10114 8839 3024 643 862 13883 56272 8856 10148 1601 1100 17104 692864 123984 45064 6167 1432 896 51608 10688 9656 1914 600 6925 706688 157184 63176 9362 1762 7888 2097 1104 2344 903 508 2068 811648 185344 78520 12216 2199 22152 166144 42392 16277 2586 
23,HMDB00094,Citric acid,CIT,Isocitric (tms) 4TMS,480,29.651,1799,43.1 44.1 45.1 47.1 55.1 59.1 67 72.1 73.1 74.1 75 81 82.1 82.9 84 85.1 86.15 87.15 88.05 89.05 91.15 92.15 93.05 94.05 94.95 97.05 98.15 99.05 100.15 101.05 102.15 103.05 103.75 105.05 111.05 111.95 113.05 114.05 115.05 116.05 117.05 117.85 119.05 129.05 131 132.1 133.1 134.1 135.1 139 141 142.3 143 144.9 147.1 148.1 149.1 150.1 150.8 154.9 157 158.9 161 163.1 168.9 171 172.9 177.05 183.05 184.05 185.05 189.15 190.05 190.95 192.05 192.95 201.05 204.15 204.95 207.05 207.85 210.95 212.05 213.05 215.05 216.05 217.05 218.05 219.05 221.05 222.1 223 229.1 230 231.1 232 233.1 245.1 257 257.9 259.1 273.15 274.05 275.15 276.05 284.95 292.05 300.95 303.15 305.15 306.15 307.15 308.95 319.2 332.9 334.1 347.1 348.2 349.1 363.15 364.15 365.15 375.15 376.05 377.15 465.25 466.25,7100 7449 19752 2780 2250 2786 3822 4098 107008 9268 14069 290 205 366 223 529 290 243 279 227 269 175 383 210 414 823 276 1514 446 592 174 804 177 442 623 185 410 245 1510 1090 1325 266 376 1506 1969 341 3950 632 410 306 620 193 897 178 26456 3931 4562 535 268 211 555 155 217 279 278 574 248 181 2062 347 843 529 289 555 164 214 332 385 485 1377 215 2373 328 547 714 282 1433 320 186 1875 410 179 393 190 860 238 187 227 1281 249 354 14170 3055 1598 281 310 159 173 271 1267 465 184 243 447 219 178 2788 543 690 1986 846 455 2246 678 348 585 286
24,HMDB00214,Ornithine,ORN,"Ornithine N5,N5 tetra-TMS",420,29.738,1804,41.1 43.1 44.1 45.1 59.1 73.1 74.1 75 80 80.9 82 83 83.8 84.2 85 86.15 87.15 88.05 89.05 89.85 91.05 95.15 96.05 97.05 98.05 99.15 100.05 101.05 102.05 103.15 103.85 105.05 110.15 111.15 112.05 113.15 114.05 115.05 115.95 117.05 118.05 118.95 124.05 126.15 127.15 128.05 129.05 130.05 131.1 132.1 133.1 134.1 140.1 142.1 143.1 144.1 145.1 146.1 147.1 148.1 149.1 154.1 156.1 158.2 160.1 161 169.1 172.1 174.1 175.1 176.1 186.15 187.05 188.05 189.15 191.15 198.25 200.15 201.15 202.15 203.15 204.15 207.05 208.05 214.15 215.05 216.15 217.15 218.15 219.05 219.95 221.05 241.2 258.1 259.1 260.4 303.15 420.2,2592 4511 4607 9381 5766 57936 5577 4816 215 169 238 438 176 185 877 4434 666 468 151 209 178 193 184 341 639 601 4228 755 2852 853 243 160 493 173 1038 288 1712 1169 607 819 159 294 159 683 411 1876 683 1802 1029 1147 1013 198 269 28192 3442 1542 388 845 3858 760 429 182 177 283 317 173 187 1256 12555 2207 1098 461 235 313 550 338 220 2539 576 459 436 423 322 202 1274 383 1230 449 651 230 160 169 242 434 455 173 222 286
25,HMDB00143,Galactose,GAL,Galactose methoxyamine (5TMS),569,30.594,1876,45.1 59.1 73.1 74.1 75 81 82 83 84 85 86.15 87.05 88.15 89.05 90.05 91.05 92.15 93.15 93.95 95.05 96.05 97.05 98.05 99.05 100.05 101.05 103.05 104.05 105.05 106.05 107.15 109.15 110.05 111.05 112.15 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.95 125.05 125.95 127.05 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135 136 138.1 139.1 140 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150 151 152.1 153.1 154.1 155 157 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165 166 168.1 169.1 170 171 172.1 173 174.1 175 176 177.15 178.15 179.05 180.15 182.05 182.85 183.25 184.15 184.95 186.15 187.15 189.05 190.15 191.05 192.05 193.05 194.05 196.15 198.05 199.15 200.05 201.05 202.05 203.15 204.15 205.15 206.15 207.05 208.05 208.95 210.15 211.85 214.05 215.05 217.05 218.05 219.05 220.05 221.05 222.1 223.1 227 229.1 230.1 231.1 232.1 233.2 234.1 235.1 236.1 237.1 240.1 241 242 243.1 244.2 245.1 246.1 247 248.1 249.1 252.1 259 261.1 262.1 263.1 265 268.15 269.15 270.05 273.15 274.25 275.05 276.05 277.15 278.15 279.15 281.15 284.15 291.15 292.15 293.15 294.05 300.05 302.15 304.05 305.15 306.15 307.15 308.15 309.05 310.05 316.1 317.2 319.2 320.2 321.2 322.1 323.1 328.1 331.2 332.2 333.1 337.1 342.2 343.1 344.1 347.1 348.2 349.3 350.1 358.2 365.15 376.15 480.35,106704 44264 1190912 97360 71800 859 2113 3088 1560 3080 1604 2720 4372 61352 6182 2912 332 258 354 434 3011 2076 998 3048 13652 14741 226304 21088 16648 1736 662 190 474 1919 788 3246 4358 4466 4482 64784 6927 7854 816 565 300 910 1860 1567 31680 6387 16361 2609 43608 5555 3415 201 170 155 396 728 1307 6341 1031 2278 162688 25352 16033 1855 901 325 203 700 421 16880 3158 3603 67040 14555 3594 5814 1033 433 167 376 1811 463 381 2181 2610 851 3206 621 4774 1007 681 381 608 194 185 223 336 2154 1233 19072 5689 9676 2013 1477 259 391 445 212 769 3013 996 2925 23544 172608 33424 17672 2433 625 453 165 1973 873 68080 13616 6186 1590 3888 638 369 193 10092 3294 2963 1068 4133 1892 5183 1016 716 300 283 566 836 969 1125 961 1193 314 208 158 540 180 755 286 366 1420 523 463 769 1146 314 161 4264 1658 678 159 226 4570 1558 793 254 541 528 493 2433 1590 5099 1454 749 182 152 230 76200 24216 11237 2308 584 322 382 180 206 372 228 252 320 431 186 279 151 157 540 306 174
26,HMDB00122,Glucose,GLU,"D-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",540,30.665,1895,45.1 59.1 73.1 74.1 75 81 82 83 84 85 86.15 87.05 88.15 89.05 90.05 91.05 92.15 93.15 93.95 95.05 96.05 97.05 98.05 99.05 100.05 101.05 103.05 104.05 105.05 106.05 107.15 109.15 110.05 111.05 112.15 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.95 125.05 125.95 127.05 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135 136 138.1 139.1 140 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150 151 152.1 153.1 154.1 155 157 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165 166 168.1 169.1 170 171 172.1 173 174.1 175 176 177.15 178.15 179.05 180.15 182.05 182.85 183.25 184.15 184.95 186.15 187.15 189.05 190.15 191.05 192.05 193.05 194.05 196.15 198.05 199.15 200.05 201.05 202.05 203.15 204.15 205.15 206.15 207.05 208.05 208.95 210.15 211.85 214.05 215.05 217.05 218.05 219.05 220.05 221.05 222.1 223.1 227 229.1 230.1 231.1 232.1 233.2 234.1 235.1 236.1 237.1 240.1 241 242 243.1 244.2 245.1 246.1 247 248.1 249.1 252.1 259 261.1 262.1 263.1 265 268.15 269.15 270.05 273.15 274.25 275.05 276.05 277.15 278.15 279.15 281.15 284.15 291.15 292.15 293.15 294.05 300.05 302.15 304.05 305.15 306.15 307.15 308.15 309.05 310.05 316.1 317.2 319.2 320.2 321.2 322.1 323.1 328.1 331.2 332.2 333.1 337.1 342.2 343.1 344.1 347.1 348.2 349.3 350.1 358.2 365.15 376.15 480.35,106704 44264 1190912 97360 71800 859 2113 3088 1560 3080 1604 2720 4372 61352 6182 2912 332 258 354 434 3011 2076 998 3048 13652 14741 226304 21088 16648 1736 662 190 474 1919 788 3246 4358 4466 4482 64784 6927 7854 816 565 300 910 1860 1567 31680 6387 16361 2609 43608 5555 3415 201 170 155 396 728 1307 6341 1031 2278 162688 25352 16033 1855 901 325 203 700 421 16880 3158 3603 67040 14555 3594 5814 1033 433 167 376 1811 463 381 2181 2610 851 3206 621 4774 1007 681 381 608 194 185 223 336 2154 1233 19072 5689 9676 2013 1477 259 391 445 212 769 3013 996 2925 23544 172608 33424 17672 2433 625 453 165 1973 873 68080 13616 6186 1590 3888 638 369 193 10092 3294 2963 1068 4133 1892 5183 1016 716 300 283 566 836 969 1125 961 1193 314 208 158 540 180 755 286 366 1420 523 463 769 1146 314 161 4264 1658 678 159 226 4570 1558 793 254 541 528 493 2433 1590 5099 1454 749 182 152 230 76200 24216 11237 2308 584 322 382 180 206 372 228 252 320 431 186 279 151 157 540 306 174
27,HMDB00182,Lysine,LYS,Lysine  4TMS,434,31.169,1908,41.1 43.1 44.1 45.1 59.1 73.1 74.1 75.1 80.9 82.1 83.1 84 85.1 86.15 86.95 88.05 89.05 90.05 91.05 93.05 95.15 96.15 97.05 98.15 99.05 100.05 101.05 102.15 103.05 103.95 104.95 108.05 109.05 109.95 112.15 113.05 114.05 115.05 116.05 117.15 118.05 118.95 125.95 128.05 129.05 130.05 131.1 132 133.1 133.9 140 141.1 142.1 144.1 146.1 147.1 148 149.1 151.2 151.8 154.1 155.2 156.1 157.2 158.1 160.1 161 170 172.1 174.1 175.1 176.1 177.05 184.05 186.05 186.85 188.05 190.05 190.95 200.15 201.05 202.25 203.15 207.05 213.05 214.15 216.15 217.05 218.05 218.95 228.1 230.1 231.3 232.2 240.2 317.3 318.3 319.2 320.4 329.1 330.4 419.3 434.4 435,1970 3769 3567 6963 5880 48784 4434 4326 302 707 313 814 873 4661 422 3094 345 182 232 217 172 193 288 697 517 6134 846 1570 583 213 247 153 150 189 1121 509 1562 2412 947 946 189 339 626 5328 830 1810 1101 693 1130 160 644 159 694 217 888 3854 636 278 212 237 953 754 7601 1068 676 553 181 243 840 18128 3564 1154 163 156 1010 196 273 211 499 1685 409 655 178 435 201 544 300 200 889 273 625 2485 426 223 165 5587 1786 632 166 375 157 188 318 162
28,HMDB00158,Tyrosine,TYR,3TMS,397,NA,1928,43.05 44.05 45.05 47.05 58.05 59.05 73.05 74.05 75.05 77.05 81.3 83 84.1 84.9 86.1 89 90 91.1 92.1 95.1 96.2 96.9 99.1 100.1 101.1 102.1 103.1 104 105.1 115 117.1 118 119.1 119.9 127.95 130.05 131.05 132.05 132.95 134.05 135.05 145.95 147.05 148.05 149.05 149.95 160.05 160.85 161.95 163.15 164.05 164.95 174.2 175.1 176.1 177.2 179.1 180.1 180.9 190 191 192.1 193 203 207 207.9 209 218.05 219.15 220.05 221.15 223.05 265.1 279.1 280.1 281.1 282.2 292 354.2 355.2 382.2,2154 5161 7659 1382 941 986 37160 3698 4088 2357 193 152 209 183 218 463 482 835 164 201 280 215 217 4826 692 349 520 242 512 329 441 154 226 154 159 413 753 623 860 305 305 268 3232 818 750 184 347 238 163 631 257 379 260 152 314 381 3125 689 217 200 248 526 320 257 1203 325 188 22680 4012 2012 288 176 243 252 2623 831 261 154 646 236 257
29,HMDB00220,Palmitic acid,C16,C16_Hexadecanoic acid,0,32.939,2047,41 42 43 44 45 47 53 55 56 57 69 73 74 75 76 81 82 83 84 84.9 85.9 89.05 93.05 95.05 97.05 97.95 98.95 100.95 104.95 115.95 116.95 117.95 118.95 128.95 129.95 130.95 131.95 132.95 143 145 158.9 171 184.95 313.15 314.15 315.05,49592 11263 65824 3829 9929 4894 2907 21536 4782 15638 5606 47240 5549 38416 2975 2324 530 2707 1041 1167 768 878 592 2439 2200 1267 1028 902 660 2017 13145 1314 886 12001 1532 2483 4044 735 1058 3456 688 635 575 10000 2335 750
30,HMDB00929,L-Tryptophan,-,L-Tryptophan,0,NA,2062,43 44 45 46 47 58 59 73 74 75 82.9 83.9 85 86 86.9 88.05 89.05 90.05 91.05 92.95 98.05 100.05 100.95 102.05 103.05 103.95 104.95 106.15 112.95 114.05 115.05 115.95 116.95 118.05 118.95 119.95 127.05 127.95 128.95 129.95 130.95 131.95 132.95 133.95 135.1 142 143 144 145 146.1 147 148 149 153.8 154.9 156 157 158 159 160 161 162.9 169 170 171 172 173 174 175 181.95 183.05 184.05 185.05 186.05 187.05 188.05 189.15 190.05 191.05 198.05 199.05 200.05 202.05 203.05 204.05 204.95 212.95 214.05 214.95 216.05 217.95 219.05 219.95 229.1 230.1 231.1 232.1 248.1 276.05 291.15 292.05 293.15 294.05 302.15 303.15 304.15 305.05 377.15 405.15 406.15,37112 26296 145728 10493 13582 11395 20264 628544 55216 50880 1048 2285 1169 3965 2452 845 1501 541 1697 992 944 25512 8886 7635 6082 1125 3098 626 659 878 4900 1946 4036 1443 2781 1010 541 1710 3928 17832 7891 10237 6382 2596 725 1058 2054 3048 7827 3504 21744 3850 1712 524 615 3483 1299 2952 2388 4068 1029 545 1427 4796 1393 5149 1312 3877 829 947 585 3997 2058 8007 2892 4856 1135 4901 937 958 3003 14277 275200 57680 16536 2386 576 1823 2408 1148 15865 2602 1182 1451 8144 1886 727 546 568 24288 7796 3031 910 2402 4001 1539 560 1146 1066 532
31,HMDB00211,Myo-Inositol,MYO,"Myo-Inositol, 1,2,3,4,5,6-hexakis-O-(trimethylsilyl)-",612,33.348,2100,44 45.1 59.1 73.1 74.1 75.1 80 81 82.2 83 84.1 85.1 87.15 88.05 89.05 91.05 93.05 93.95 94.95 95.95 96.95 98.05 99.05 100.05 101.05 102.05 103.05 104.05 105.15 107.05 108.95 111.05 112.05 112.95 114.05 115.05 116.05 117.05 118.05 119.05 125.05 127.05 128.05 129.05 130.15 131.1 132 133.1 134.1 135.1 141.2 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150 151 153.1 155.1 156.3 157 158 159 161.1 162 163.1 169.1 170.1 173 175 176.2 177.15 179.05 181.15 184.95 186.95 189.05 190.15 191.15 192.15 193.05 194.15 195.05 201.05 204.05 205.05 206.05 207.05 207.95 209.05 215.05 217.05 218.05 219.15 220.15 221.05 222.1 223 229.1 230.2 231.2 233.1 242.9 244 245 265.1 266.1 267.1 268.05 277.25 278.15 291.05 292.15 293.15 293.95 295.05 303.25 305.15 306.15 307.15 308.15 309.15 318.2 319.2 320.2 321.2 322.2 343.1 345.1 367.15 368.25 369.15 379.15 393.15 394.25 395.35 419.2 432.3 433.2 434.2 435.2 507.2,6703 26312 6868 341696 28208 19664 196 1196 272 972 345 1179 1120 491 410 346 211 301 279 198 265 231 969 211 2279 848 14953 1679 965 191 489 1170 200 1015 222 923 1086 2310 411 1123 282 796 341 16151 2056 6687 982 15146 2186 1591 373 388 3430 444 660 76208 12140 6456 746 174 196 413 207 999 173 560 648 182 370 437 173 275 661 252 795 226 173 186 264 2207 3343 35408 6300 2884 463 203 435 19624 5622 2099 2331 401 236 519 51760 10370 4980 708 4017 842 507 298 1181 572 172 374 209 197 5985 1608 846 172 156 259 4034 1173 1421 298 174 231 29136 9172 4338 952 290 14912 6827 2575 867 219 487 224 1383 521 263 216 559 484 202 297 1193 1116 609 237 252
32,HMDB00673,Linoleic acid,LIN,Linoleic acid  trimethylsilyl esterI,352,34.945,2223,41.1 43.1 44.1 45 54.1 55.1 67.1 68.1 69.1 73 75 77 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.15 87.05 88.05 89.15 91.05 92.05 93.15 94.15 95.15 96.05 97.05 98.15 99.05 101.05 103.05 104.05 105.15 105.95 107.15 108.05 109.15 110.05 111.15 111.95 112.75 115.15 116.05 117.05 117.95 119.15 120.05 121.15 122.05 123.05 124.05 125.05 129.05 129.95 131.1 132.1 133 135.1 136.1 137.2 138.1 139.2 142.9 144.1 145.1 146 147.1 148.4 149.1 150.1 151.2 152.1 155.1 157 159.2 163.2 164.1 165.1 168.9 173 177.25 178.15 183.15 185.05 187.15 192.95 199.25 201.05 207.05 208.95 220.25 220.85 262.1 337.3 338.3,20360 9678 4784 4804 7325 16712 15852 5126 4984 22480 23496 4666 7523 3951 11652 5098 2302 799 679 254 206 226 593 2270 610 3442 2541 6550 4408 2243 527 454 254 296 213 1148 383 1817 1448 2658 1725 732 162 176 217 843 3938 375 615 330 1356 694 807 700 171 4573 773 1059 311 288 1054 1019 503 382 206 325 196 881 197 283 175 693 1245 243 235 331 179 283 289 660 356 155 411 322 749 173 209 258 189 206 163 555 224 352 213 436 1491 467
33,HMDB00207,Oleic acid,OLE,"Oleic acid, trimethylsilyl ester",354,34.996,2228,41.05 43.15 45.05 54.05 55.05 57.05 67.05 69.05 73.05 75.05 80.05 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101 102.1 103 104 105.1 106.1 107.1 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116 117 118 119.1 120.1 121.1 122.1 123.1 124.15 125.15 126.15 127.15 129.05 130.05 131.05 132.05 133.15 134.15 135.15 136.15 137.15 138.15 139.15 140.15 141.05 142.15 143.05 145.05 146.15 147.15 148.15 149.15 150.15 151.15 152.15 153.15 155.05 156.15 157.05 158.05 159.05 160.05 161.15 162.05 163.15 164.15 165.15 166.15 167.2 168.2 169.1 170.1 171.1 172.1 173.1 174.1 175.2 176.1 177.2 178.2 179.2 180.2 181.2 182.2 183.1 185.1 186.1 187.1 188.1 189.1 190.1 191.1 192.2 193.1 194.2 195.2 196.2 197.1 199.1 200.1 201.1 202.1 203.1 204 205.1 206.1 207.1 208.1 209.1 211.15 212.05 213.15 214.15 215.15 216.15 217.15 218.15 220.25 221.25 222.25 223.25 224.25 225.15 227.15 228.15 229.15 230.15 231.15 235.15 236.25 237.25 239.15 241.15 242.15 243.15 244.15 245.15 246.25 247.25 248.25 249.15 250.25 253.15 255.2 256.2 257.2 258.3 259.2 262.2 264.3 265.2 266.3 267.2 268.2 269.2 270.2 271.2 272.2 273.2 274.2 281.1 282.1 283.2 284.2 285.3 286.2 287.1 288.2 295.2 296.2 297.25 298.35 299.25 300.25 309.25 311.25 312.25 313.25 323.15 325.25 325.95 336.35 337.25 339.25 340.3 341.3 342.3 343.3 354.3 355.3 356.3 357.4,473920 362240 108472 118880 506880 138880 174528 168064 645952 637120 26520 130896 72376 105432 117864 24896 8041 5724 4193 20264 2817 23760 6419 34408 24832 109824 169664 106688 118800 24544 2571 10145 1821 4376 965 20584 5094 20320 15461 55656 59104 37496 19816 5127 1450 6179 53152 425920 44088 28792 5321 16984 6980 38664 20672 11693 3992 2524 326592 41296 55568 69992 27728 11049 10328 3666 20800 15077 4655 1326 2790 2812 17480 119480 15874 12490 4407 4221 2941 12296 13793 3477 14489 4195 9209 3739 9144 1876 4711 1839 1942 2478 7598 10269 3732 2646 10177 4958 18952 8359 9739 2991 2680 734 1228 1214 5004 30224 7125 1433 12289 38624 10358 9990 4340 1745 538 1035 537 3611 3686 1107 528 3642 37472 6665 10186 1861 978 271 522 772 4566 2302 1347 2721 587 6472 1508 2406 691 681 363 6454 7919 34720 6629 522 1804 8678 1728 2106 684 261 3617 4793 1024 1566 6675 1756 1843 463 378 1484 469 201 737 191 1454 3682 976 3477 1496 382 456 21992 4731 569 1170 359 1426 439 1816 2056 567 202 1092 292 1232 222 706 1272 289 152 2624 745 911 291 990 303 894 2622 752 662 608 774 205 262 1338 141440 38832 9968 1555 207 11467 3584 857 197 
34,HMDB00827,Stearic acid,STE,"Stearic acid, trimethylsilyl ester",356,35.323,2225,41 42.1 43 44 45 47 55 56 57 58.1 69 73 74 75 75.9 81 83 85 88.95 95.05 97.05 104.85 115.85 116.95 128.95 129.95 130.85 131.95 145 184.95 341.3 342.2,16792 3817 25096 1515 3208 1614 8064 1929 8250 1333 2400 17928 1695 12573 1399 1037 1165 806 643 804 801 582 520 5051 3732 511 1248 1523 1951 547 2225 763
35,HMDB00067,Cholesterol,CHO,Cholesterol trimethylsilyl ether,458,48.848,3177,41.1 43.1 45 55 56 57 67 69 71.1 73 75 79.1 81 82.9 85 91.05 93.05 94.95 97.05 105.05 105.95 106.85 108.85 116.95 118.95 119.95 121.05 128.95 129.85 131.05 132.95 145 147 159.1 161 329.3 368.3,6228 10632 1246 4419 1406 5133 1468 2043 2410 8680 4329 2044 2440 909 545 2546 1546 1835 506 1978 506 1115 503 785 1193 761 692 3184 689 1120 581 817 524 883 607 1279 614
