Serial_Number,HMDB_ID,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope
1,HMDB00190,L-Lactic acid,LAC,Bis(trimethylsilyl)lactate,234,14.831,1075,43 44.1 45.1 47 55.1 58 59.1 66.1 73.1 74.1 75 80.1 83 84.1 85 85.95 87.05 88.15 88.95 90.95 93.05 94.05 97.15 98.95 101.05 102.05 103.05 104.05 104.95 113.05 115.05 117.05 118.05 119.05 120.05 127.05 128.95 131.1 133.1 134 135 147.1 148.1 149 150 151.1 174.9 190.15 191.05 192.05 193.15 203.05 207.05 219.05 220.05 221.05,26936 11688 48752 9518 6950 8828 14352 14054 133504 12771 19272 228 353 287 538 462 3333 4839 1490 350 184 466 245 256 2688 3236 1884 373 826 222 1343 59920 6046 2599 231 160 718 3069 5859 941 571 58560 9483 5244 692 165 249 6612 9923 2297 818 302 668 1881 416 234,-0.0437,0.3979
45,HMDB00115,Glycolic acid (2TMS),,,,10.581,1095,40.3 41 42.1 43.1 44.1 45.1 46.1 47.1 48.2 48.9 50 50.9 52.1 52.9 54 55 55.9 57.2 58.1 59.1 60 61.1 61.8 62.2 64.3 66 68.9 70.1 71.1 73.1 74.2 75.1 76 76.9 77.9 79 81.1 82.7 84 85.2 85.9 87 88.1 89 90.1 90.9 93 95.1 96.1 97.1 97.7 99.1 100.1 101 102.1 103.1 103.9 105.1 105.8 107.1 112.9 115 116.2 117 118.1 119 120.1 121.3 125.7 128.9 131 132 133 134 135.1 136.3 137.2 144 144.8 147.1 148.1 149.1 150 150.9 152.6 156.9 161.1 161.9 163.1 164.1 167.2 171.2 173.1 173.9 174.9 177.1 178 179 180.1 180.8 183.1 183.5 187.8 188.9 190.1 191.1 192 200.8 203 205.1 206.2 207.1 208 209.1 218.9 222.3 223.3 230.1 249.6 276.4 295 303.5 325 329.1 336.7 345.2 356.3 363.1 368.6 380.8 446.3 493.2 503 518.3 546 559.6,2557 3931 25080 134720 42728 256256 18712 48392 2136 629 3281 4352 12424 9043 4771 19976 6954 26872 100072 126744 16150 26320 743 1376 378 100080 2190 7007 9643 852480 67472 106416 10181 3491 889 4715 12345 740 219 2853 188 13114 43552 15105 3667 785 374 4040 464 503 220 1619 1501 14215 15919 34432 6454 13149 561 1159 2103 14945 2228 30032 4886 10259 328 420 614 1220 43376 5026 101952 9975 13113 2398 519 1423 2353 1013888 158848 89664 8642 2300 296 570 60904 7008 5772 532 343 217 350 220 1030 97896 21856 7929 2138 658 236 214 465 507 5558 1766 196 442 210 98480 18728 8788 478 406 373 322 815 701 947 299 256 805 334 176 573 664 692 373 418 754 262 271 428 151 931 287 ,0.0145,0.768
2,HMDB00161,Alanine,ALA,"N,O-Bis-(trimethylsilyl)alanine",233,16.161,1116,42 43 43.9 45 46.9 55 56.9 58 59 61 73 73.9 74.9 85.9 87.3 93.95 100.05 101.05 101.95 102.95 104.85 115.95 116.95 117.95 129.75 130.85 132.95 147 148 149 190.05 191.05,4885 13636 9443 25344 4353 2608 2107 4492 11076 2386 50992 5240 7577 2711 904 736 5090 1640 1643 2770 556 38256 5174 1388 564 908 2067 11754 1693 1043 3973 642,-0.0018,0.7906
3,HMDB02329,Oxalate (2TMS),OXA,oxalate 2TMS,234,16.973,1155,41 42.1 43.1 44 45.1 46 47 52.1 55.1 57.1 58.1 59.1 66 73.1 74 75 77.1 83.1 85.1 86.95 89.05 90.95 93.15 94.25 96.95 100.85 102.05 102.95 104.95 115.05 117.05 131.1 132.1 133 147.1 148.1 149 175 190.05 191.05 206.95 218.95,1930 1080 8216 5292 14813 1313 1793 2547 1299 2039 4711 3874 2844 38224 3753 3672 1428 257 238 384 192 257 329 173 169 191 544 561 324 311 506 897 200 734 14218 2757 1624 273 519 152 281 197,-0.0192,1.1696
4,HMDB00883,Valine,VAL,valine 2TMS,261,19.057,1229,41.1 42.1 43.1 44.1 45.1 47 55.1 57.1 58.1 59.1 70.1 73 74.1 75 80.3 80.8 82.1 83 84 85 86.15 86.95 88.05 91.05 92.35 93.15 93.95 95.15 95.85 96.95 98.05 99.05 100.05 101.05 102.05 103.05 104.05 104.95 108.15 110.05 112.15 113.15 114.05 115.05 115.85 117.05 118.05 119.05 125.95 128.05 129.05 130.05 131 132 133.1 134.1 135 142.2 144.1 145.1 146.1 147.1 148.1 149.1 150 152.2 156.1 157 158.1 159.1 160 163 174.2 203.15 207.05 218.05 219.05 220.05 221.15 246.1,7337 3066 17880 10258 32096 4331 4037 3767 5568 12848 3525 104456 9534 12578 329 427 895 704 812 779 1897 553 437 181 163 205 200 179 357 291 814 624 8973 1761 1104 2591 174 301 182 227 1089 370 2056 1010 202 1025 377 550 368 1680 859 1160 1364 1981 2533 394 393 354 70016 9261 3041 11022 1912 1113 190 153 702 191 383 169 585 171 308 543 318 11249 2151 786 187 296,-0.0641,1.3722
5,HMDB00294,Urea,URE,urea 2TMS,204,19.709,1250,43.1 44.1 45.1 46.1 47.1 58.1 59.1 66.1 72 73.1 74 75 79 83 84.1 85 86.05 87.05 88.05 89.05 90.05 90.95 91.85 92.95 94.05 95.15 97.05 99.05 100.05 101.05 101.95 103.05 104.15 105.05 105.95 107.05 111.05 113.05 114.05 115.05 116.05 116.95 117.95 118.85 127.05 129.05 130.05 131 132.1 133.1 134 135.2 141.1 147.1 148.1 149.1 150.1 155 155.9 157 158.1 159 171 172 173 174 175.1 185.95 189.15 190.05 191.05 192.05 204.15 205.15 207.05,28128 28432 48040 10642 7912 9154 16664 18336 9283 60376 24648 17064 7898 670 1258 2778 2104 9441 1912 670 1146 420 205 166 161 182 346 12901 9089 3926 2160 1534 229 942 214 178 238 1645 1286 2724 1832 2385 622 249 370 352 6517 5590 4059 2410 629 302 212 99680 16544 7675 600 338 153 1112 280 358 7521 1528 4112 679 357 224 59344 9666 5457 503 1190 321 509,-0.1538,0.8689
6,HMDB00172,Isoleucine,ISO,L-Isoleucine (2TMS),275,20.793,1283,41.1 43.1 44.1 45.1 47 57.1 58.1 59.1 69 73.1 74.1 75 77 80.5 80.8 82.1 83.1 84 85.1 85.95 86.95 87.85 89.05 90.05 91.15 92.15 94.05 95.05 96.15 97.05 98.05 99.15 100.05 101.05 102.05 103.05 104.15 104.95 112.05 113.25 114.05 115.05 116.15 116.95 117.95 119.05 125.95 128.05 129.15 130.05 131.1 132.1 133.1 134 142.1 143.1 144.1 146.1 147.1 148 149.1 155.9 158.1 159.1 160.1 161.1 170.1 174 203.15 206.95 218.05 219.05 220.05 232.2 233.2 234.1 260.1,8515 7177 6038 20296 3118 5625 4733 7113 3084 71248 6710 9162 2099 283 262 405 430 874 751 1562 461 405 303 248 321 158 270 270 495 635 708 621 6472 1249 1502 1731 163 437 263 287 1277 532 615 934 182 404 188 1802 768 817 848 1457 1724 273 870 615 320 340 7692 1045 907 309 55016 7960 2327 433 568 226 781 234 8992 1962 650 2575 524 242 261,-0.073,1.6457
32,HMDB02142,Phosphoric acid,,,,15.95,1291,41.2 42 43.1 44.1 45.1 46.1 47.1 47.8 49.1 49.9 50.7 51.1 52.1 52.8 55 56.1 57.1 58.1 59.1 60 61.1 61.9 63 64.1 65.3 66 67.1 68.3 69.2 69.9 71.1 73.1 74.1 75.1 76 77.1 78 79 81.1 83.1 83.9 85.1 86 87.2 89 91 92 92.8 94 95.7 97.1 98 99.3 99.8 101.1 101.9 103 104.1 104.9 106.1 107 108 108.9 111.1 112.9 113.9 115 116 117 119 120 121 122.1 123 123.8 124.3 124.9 125.2 125.9 126.4 129.2 130.1 131 133 134.1 135 136.1 137 138 138.8 139.7 143.1 143.7 145.1 147.1 148.1 148.9 150 151.1 153.1 154.1 159 160.2 161 162.1 163 163.7 165 166.2 167 168 168.9 170 170.9 173.6 175.1 176.1 177.1 177.9 179.1 180.1 181 182 182.9 184.2 185.2 187 189.1 190 191.1 191.9 193 194.1 195 196 196.9 197.9 203 205.1 207 208 209 211 212 213 214 214.9 216.7 217.9 219.8 221 222 223 225 226 227 227.9 229 235.1 238.2 239 239.2 239.9 240.9 241.9 246.8 250.2 251.2 253.1 254 255.2 255.9 264.9 267.1 268.2 269.2 270.3 270.9 281.9 283.1 283.9 284.1 285.1 286.2 292.3 294.9 295.5 296.1 296.8 299.1 300.1 301.1 302.1 303.1 304.4 304.9 309.9 314.2 315.1 316.1 317.1 318.1 318.7 344.8 355.1 358.8 360 364.1 365.5 373.2 375.9 379.2 453.7 462.9 470.7 493.5 496.6 503.5 505.4 536.7 549 597.4,2030 6014 62496 36096 191040 14874 20248 179 637 2744 853 1756 3792 2559 11348 3173 14856 21248 39264 6014 15733 1536 1194 255 3919 16003 1660 396 1440 6717 15798 962112 81552 57352 3171 16736 183 4199 1290 253 292 4417 583 7897 7874 9368 712 2408 891 542 774 865 1530 992 3830 2687 30888 10363 17904 4049 13328 2445 6039 266 1619 1085 54768 8701 19816 37456 7417 27032 5963 10244 511 329 516 567 399 210 1804 432 22896 263616 34800 82528 10893 63232 5279 5424 1033 699 510 3663 54408 5379 7205 2775 18520 5817 356 877 1059 1752 258 12244 2357 18120 5433 31432 3382 2511 816 150 403 2176 2611 7410 3771 13222 6094 65936 7913 20024 1510 1740 456 16984 5757 53768 14109 70384 13737 23536 4110 11421 1791 1505 16133 63072 12713 12155 471424 67880 36536 5076 1182 482 748 337 7238 3336 4044 28648 3435 6660 1250 830 748 195 1277 1252 561 156 459 220 443 940 4597 1154 3404 1682 491 3250 1376 10479 1389 1811 1491 58776 9778 9327 10932 2509 564 152 1064 1126 680 1064960 260608 142336 17440 8704 253 573 271 158976 42800 20360 3130 630 241 190 184 173 955 478 258 212 396 155 177 705 268 440 667 220 445 421 246 446 ,0.0397,1.9241
46,HMDB00162,Proline (2TMS),,,259,16.369,1308,40.2 41.1 42.3 43.1 44.2 45.1 46.1 47 47.9 49.1 50 50.6 51.3 52.2 53.1 54.1 55 56 57.1 58.1 59.1 60 61.1 61.8 62.4 63.1 66.2 68.1 69 70.1 71.1 72.1 73.1 74.1 75 75.9 77 77.8 78.1 79.4 80.1 81.1 82 83.1 84.1 85.1 86.2 87.1 88.2 89.1 90 91 92.3 93.1 94.2 95.3 96.2 97 98.2 99.1 100.1 101 102 102.9 103.8 104.9 106.8 107.7 110.2 111 111.3 112.3 113 114.2 114.8 115.1 116.2 117 117.8 118.9 122.2 124.1 125.1 126.1 127.2 128 128.9 130.1 131.1 132.1 133.1 134 135 136.1 138 139.2 140.1 142.1 143.1 144.1 145.1 147.1 148.1 149.2 150.1 151.1 152.2 153.1 154 154.7 155.9 156.9 158.1 158.8 160.2 165.4 168 170.1 171.1 172.1 172.9 173.3 174 175 176.1 177.3 178.7 179.7 184.2 184.7 186.2 188.4 193.2 193.7 198.2 200.3 201.2 202 204.2 206.8 207.4 208.1 209.3 210.2 211.4 214 214.7 216.1 217.2 218.1 219.2 220.1 221.9 230 231.2 232.1 238.9 242.1 242.8 244.1 244.9 246.1 252.2 252.8 258.9 261.1 266.2 266.8 270.6 281 283.1 284 291.1 295.3 298.7 312.2 319.9 321.9 325.2 328.7 334.9 341.5 356.2 369.7 402.4 422.2 424 428.2 431.9 447.6 514.9 523.2,4383 31920 10922 89200 31960 198208 13990 23256 635 430 1034 609 775 2123 4657 4756 18072 9979 22760 43128 84576 7612 15008 1915 711 373 10677 17896 12714 20568 12589 86296 779392 67168 103096 3775 3293 491 767 4724 6678 1237 3602 6025 14784 15083 17296 4778 1654 475 354 259 898 1020 1242 2761 3298 1674 6787 22032 27664 15561 4810 5539 2478 2615 1199 585 1815 1270 1864 3301 5221 5042 4466 4577 4347 11610 1071 3552 691 6182 1096 7363 21112 9404 4887 2039 19952 2732 19136 4150 2589 1413 3614 945 7779 1018304 154496 36568 3684 115648 15031 9485 3377 1439 183 309 1635 633 1986 1391 10838 1172 703 330 1954 18448 6017 1321 1173 874 1759 6103 1162 1412 647 176 531 259 1135 448 212 653 283 616 314 736 457 819 324 772 588 1133 206 617 242 77304 22152 12127 1991 886 251 4229 2310 1165 306 741 474 6484 1890 1056 575 180 1591 656 1129 279 506 1253 484 375 193 209 247 501 171 275 450 1197 183 174 507 250 429 278 187 167 503 349 313 152 ,0.0181,1.211
8,HMDB00123,Glycine (3TMS),GLY,"Glycine, 3TMS",291,21.108,1318,43.1 44.1 45.1 58.1 59.1 73.1 74.1 75.1 81.4 82.1 83 84 85.1 86.05 87.05 88.05 89.05 89.75 90.95 92.95 94.15 94.95 95.85 97.15 98.15 100.05 101.05 102.05 103.05 103.95 104.95 105.95 111.05 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.85 122.85 128.05 129.15 130.05 131.1 132.1 133.1 134.1 135.1 136 142 143.1 144.1 145.1 147.1 148.1 149 150.1 151.1 158.1 159 160.1 161 162 172 174.1 175.1 176.1 177.15 178.15 178.85 186.05 186.95 188.05 189.05 190.05 191.15 191.95 202.15 203.15 204.15 205.05 206.05 207.05 217.95 246.1 248.1 249.1 250.1 251.1 252.1 276.15 277.15 278.15 279.15,36896 24600 142144 15130 81824 414976 36064 28304 211 420 971 1572 3433 92240 10613 3735 665 179 375 356 305 820 277 362 668 54608 13217 6505 4948 1091 1728 203 211 2083 2196 4115 6439 16704 2466 4351 617 342 164 408 964 12020 13106 3714 44560 6386 2787 442 325 181 4421 1003 92720 13183 6830 811 196 7217 2253 2142 758 159 3593 347776 64736 26160 4108 770 186 185 297 3832 1151 1002 388 182 1980 416 1855 497 197 422 336 2079 44600 11539 5840 777 293 9761 2125 1151 354,-0.2015,1.7541
