Serial_Number,HMDB_Number,Compound,Cn,RT,RI,MW,MZ,Intensity
11,,C18,18,26.121,1805.9,254,40.1 41.1 42.1 43.1 44.1 45.1 48.7 50 51.1 52.3 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63.1 64 65.2 66.1 67.1 68.1 69.1 70.1 71.1 72.1 72.9 73.4 74.7 76.9 77.9 79 79.9 81 82.1 83.1 84.2 85.1 86.1 87.1 88.8 91 92 93.2 93.9 95.1 96.1 97.1 98.1 99.1 100.2 101 103.3 104.9 109.2 110.1 111.2 112.1 113.2 114.2 115 123.1 123.9 125.2 126.2 127.2 128.2 129.3 135.3 137.4 138 139 140.1 141.2 142.2 143.2 146.5 152 153.1 154.2 155.2 156.2 157.1 168.1 169.2 170.1 170.6 170.9 173.7 182.2 183.2 184.1 191.9 193.8 196.2 197.2 198.2 198.7 207.2 208.9 210.2 211.3 212.1 212.3 213.5 220.9 224.4 225.2 226.5 234.5 240.3 248 252.2 254.3 255.2 256.3 257.2 273.1 281.3 283 314.9 341.1 344.8 361.2 417.6 478 484.5 559.6 581.6 591.6,43384 1112576 223168 1516544 58008 325 334 1140 6892 6648 53072 45744 484352 210496 1276416 54848 549 350 1230 742 10074 3580 48712 31912 179328 137536 774272 36632 654 710 1006 7400 953 9564 3175 14297 29576 98016 75064 469248 26280 783 194 1769 583 1016 252 4690 10621 71240 58792 166144 12335 665 656 767 1641 8237 33576 40640 99296 4580 499 199 1395 14158 33384 54440 8676 365 250 163 600 3868 24816 44464 2558 230 256 833 2546 20232 33712 5791 448 15634 22344 1380 667 582 306 7506 21912 1765 193 446 11562 13304 1488 172 196 493 5102 8372 929 977 879 163 2378 3939 619 173 191 186 1128 33976 10898 897 188 196 410 516 155 196 160 1119 532 249 436 396 368 202 
12,,C19,19,27.794,1904.1,268,41.1 42.2 43.1 44.2 45.4 50.3 51 52.2 53.1 54.2 55.1 56.1 57.1 58.2 62.9 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.2 73.2 77 78.1 79 81.1 82.1 83.1 84.1 85.1 86.1 87.3 91.1 93 94.5 95.3 96.1 97.2 98.1 99.1 100.1 101.3 103.1 105.4 109.2 110.2 111.1 112.2 113.2 114.1 115.1 116.1 118.8 120.2 123.3 124.4 125.2 126.2 127.2 128.3 129.1 135.2 138.2 138.9 139.4 140.1 141.1 142.2 148.1 152.1 153 154.1 155.2 156.1 165.7 168.3 169.2 170.2 182.2 183.1 184.4 185 186.8 192.2 195 196.3 197.3 198.3 206.6 207.2 208.2 210.2 211.3 212.3 221.1 222.4 224.4 224.9 225.6 226.2 237.8 239.3 240.4 258 262.1 268.4 269.2 270.3 280.9 283.9 293.2 311.1 324.1 326.8 328.1 331.3 336 355.4 429.9 433.2 504.9 546.5 589.4,564480 118424 851328 33224 528 195 3636 4339 26592 26056 266368 123408 671040 28544 1087 4754 2283 35464 13291 119232 65376 385152 22184 933 4048 849 6489 6489 13787 64728 43728 249664 14805 337 1217 1023 1024 2373 6564 44224 25344 88720 8380 701 610 252 824 4104 19736 18792 51080 5074 158 156 403 330 236 910 5654 11228 33536 2240 792 157 928 2044 1315 14952 20224 2052 191 571 174 13547 22416 2114 558 8283 15407 2008 6742 10002 943 171 250 185 372 3956 11776 851 401 617 919 3678 5108 1475 433 407 1320 1957 1376 774 340 1818 264 508 173 11183 2248 464 253 348 175 186 156 680 307 1153 178 232 487 642 402 182 283 
13,,C20,20,29.429,2011.7,282,41.1 42.1 43.1 44.1 45 46 47.8 50.1 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.3 61.1 63.1 64 65.1 66.1 67.1 68.1 69.1 70.2 71.1 72.2 73.3 75.1 75.8 77.1 78.2 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.8 91.1 92.1 93.1 95.2 96.1 97.1 98.2 99.1 100.1 101 103.3 105.2 107.3 108.1 109.3 110.1 111.2 112.1 113.1 114.2 115.2 120.1 122.7 124.1 125.1 126.2 127.2 128.1 129.1 134.8 136.7 137.3 138.3 139.1 140.2 141.2 142.2 143 145.3 147 151 152.2 153.2 154.2 155.2 156.3 157.2 160.9 166.1 167.3 168.2 169.2 170.1 171.1 172.7 174.3 179 180.1 181.1 182.2 183.2 184.2 185.5 192.2 194 196.2 197.3 198.2 199.3 206.6 207.1 208 209.1 210.2 211.2 212.3 213.2 221 222.2 224.3 225.2 226.2 238.4 239.3 240.4 241.1 252.1 253.4 254.4 258.6 267.5 273.1 279.9 280.3 282.4 283.4 284.4 329.6 331.1 341.1 342.6 343.3 344.8 354.7 390.1 398.3 407.4 426.7 438.7 461 466 471 498.6 516 573.6,2664960 582720 3825664 140672 1675 160 215 5285 12212 9725 133376 139264 1432064 597632 3588608 150336 1245 670 1875 1688 22440 16464 153984 100968 622912 399552 2267136 112824 2057 466 597 19824 3367 32712 6581 49416 85616 344896 214400 1556480 105456 3893 398 5395 1298 2092 14934 53304 246912 150656 528576 37728 1262 1373 334 391 180 4335 22952 120192 121400 351232 27064 2429 441 930 14084 60968 94432 200128 19944 1443 781 466 631 4925 18552 81800 161472 17064 913 342 302 836 5076 7158 70904 115456 12950 1896 722 3419 3335 48824 88680 14348 1611 279 552 231 270 3587 44920 75304 5750 576 195 571 32592 58904 5659 855 1320 540 275 999 35176 42008 8483 1111 949 183 20600 46992 8489 11775 24768 3898 979 7971 11843 2597 337 346 506 850 829 69288 17208 1982 307 265 1360 822 332 360 1698 460 274 829 435 159 167 671 159 352 416 733 
14,,C22,22,32.407,2216.8,296,41.1 42.1 43.1 44.1 45.1 50.1 51.1 52 53.1 54.1 55.1 56.1 57.1 58.1 59.3 61.1 61.9 62.9 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 72.9 74.1 77.2 77.8 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 89 90.8 91.3 92 92.9 93.4 95.1 96.1 97.2 98.1 99.1 100.2 101.1 102.9 104.8 107 107.9 109.1 110.1 111.1 112.2 113.1 114 115.2 119.2 123.2 124.1 125.1 126.2 127.2 128.3 130.6 137.3 138.2 139.2 140.2 141.2 142.2 144.9 147.2 151.9 153.3 154.2 155.2 156.2 157.3 158.8 161.2 166.1 167.2 168.2 169.2 170 171.2 176.8 179.7 180.3 181.1 182.1 183.2 184.2 185.4 190.8 192 193 196.2 197.3 198.3 201.2 205 208.2 208.5 208.8 209.1 210.3 211.3 212.2 212.8 224.3 225.3 226.2 227.3 228.7 232.1 233.5 235 236.7 238.1 239.3 240.3 241.5 252.3 253.3 254.2 266.4 267.4 268.3 268.5 269.6 280.3 281.3 282.4 294.7 295.5 296.2 300.3 309 310.4 311.4 312.5 322.2 325.4 333.2 341.3 355.6 356.2 362.9 389.6 401.1 402.8 417.3 568.8 594.2 595.7,1588224 383296 2629632 93320 1494 1917 10342 3919 76472 84424 862784 372352 2366464 102240 1866 285 660 303 16600 7072 121664 61184 406656 233088 1418752 72176 3417 413 13623 1915 20080 3971 39968 71296 248896 133824 985536 61120 1469 625 2343 1052 312 1728 822 15502 35608 184256 95416 337344 16279 801 848 681 513 589 6039 15851 88112 80024 205824 15000 654 581 1750 7054 47808 61088 139136 14292 203 1080 4174 13908 57656 103416 11713 659 407 2516 8034 39968 79976 9766 482 252 513 1427 5280 30240 62912 5854 1537 501 308 580 1343 27648 44320 8282 205 239 292 246 26856 43704 5755 275 173 429 301 492 551 17976 35760 3979 695 16792 32376 4237 395 274 163 615 488 267 10647 22368 6279 1715 11864 24632 3362 6298 10843 2059 2091 530 3015 6469 680 322 493 447 531 256 50584 12721 412 460 260 522 1094 339 304 402 600 292 1108 687 675 218 904 
15,,C24,24,35.155,2415.2,310,41.1 42.1 43.1 44.1 45.3 46 48.7 49.9 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.2 61.1 62.1 62.9 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.2 77.2 78.1 79.2 80.3 81.1 82.2 83.1 84.2 85.1 86.1 87.1 90.9 93.3 95.1 96.1 97.1 98.1 99.1 100.1 101.1 104.7 106 106.5 107.3 109.1 110.2 111.1 112.2 113.2 114.1 115 115.8 118.1 119.1 121 122.2 123.3 124 125.2 126.1 127.2 128.1 129.1 130.4 133 135 136.9 138.2 139.2 140.2 141.2 142.2 143.9 145.7 146.8 147.9 148.4 149.8 150.7 152 153.2 154.2 155.2 156.3 159.7 165.2 166.1 167.2 168.2 169.2 170.1 171.1 175.9 177.9 180.1 181.1 182.3 183.2 184.3 185 185.6 189.1 192.3 193.2 194.3 195 196.2 197.2 198.4 199.3 201.3 207.2 207.9 209 210.3 211.3 212.2 213.5 221 222.3 223.3 224.3 225.2 226.3 227.6 234.9 236 237.1 238.4 239.3 240.2 240.9 241.5 250 252.3 253.4 254.4 258.8 266.3 267.4 268.4 269.2 279.2 280.4 281.4 282.5 286.8 294.3 295.4 296.3 308.5 309.3 310.2 311.2 311.5 312.3 318.1 322.1 323.2 323.7 326.7 334.3 334.9 337.3 338.4 339.4 340.5 341.9 344.6 355 397.3 407.5 415.6 428.4 429 431.2 442.6 484.1 550.6 558.5,1387008 344448 2452992 83608 245 154 223 3429 6615 4990 52600 68056 823360 370752 2317312 111568 1990 214 708 2173 12073 7230 96384 58984 395072 245440 1408000 73048 2820 199 10680 1924 15828 3992 37592 66224 258880 118944 952000 68400 1808 3722 1681 16350 33944 200064 89760 328640 22896 879 1587 623 683 366 1929 28240 108408 62160 208384 20264 1326 566 204 934 176 429 2770 7557 50616 57464 137984 8263 435 572 268 427 1646 8239 22856 52912 118024 10775 728 353 518 994 447 156 682 2814 8535 44192 72320 11154 204 951 2126 8005 33576 61464 5960 827 834 255 3362 5324 27760 52096 6314 272 154 204 264 190 1702 1661 23744 38344 5790 1256 351 2656 1043 2089 17776 31600 4669 495 382 830 1375 13190 24416 4190 579 665 188 228 10109 25032 6077 393 150 1176 13024 28664 4544 381 9564 24000 3435 269 182 6201 17624 2707 362 4854 12924 4128 1061 6104 1792 331 279 294 428 462 215 1126 197 196 170 809 30720 8824 1206 346 227 164 340 354 299 430 391 328 201 402 323 218 
16,,C26,26,37.7,2614.3,324,41.1 42.1 43.1 44.1 44.9 45.1 46.1 47.2 47.9 49.2 50.2 51.2 52.1 53.2 54.1 55.1 56.1 57.1 58.1 59.3 62.9 65 66.3 67.1 68.2 69.1 70.1 71.1 72.1 73.1 74 75.1 75.7 77.1 78.1 79 80 81 82.1 83.1 84.1 85.1 86.1 87 90.9 92.1 92.9 95.1 96.1 97.1 98.1 99.1 100.1 101 101.5 102.8 103.2 104.9 106.3 109.2 110.2 111.1 112.1 113.1 114.1 115.1 120.3 120.8 123.3 124.1 125.1 126.1 127.2 128.1 129 134.9 137.2 138.2 139.2 140.2 141.1 142.1 143 143.3 147 148.2 151.2 152.3 153.1 154.1 155.2 156.1 157.4 165.1 166.3 167 168.2 169.2 170.2 176.3 177 180.2 181.3 182.2 183.2 184.2 185.1 191.1 193.2 194.2 195 196.3 197.3 198.3 199.1 201.9 204.1 204.8 206.9 207.4 208 209.3 210.2 211.2 212.3 213.3 219.1 220.9 222.3 223.2 224.3 225.3 226.3 228 235.2 237.2 238.3 239.4 240.3 242.8 250 251.3 252.4 253.2 254.1 255.3 266.3 267.3 268.2 268.5 269.4 274.3 280.4 281.2 282.2 283.3 285 287.2 294.4 295.4 296.3 297.2 300.1 308.4 309.4 310.4 311.4 322.2 323.3 324.5 325.6 326.2 326.9 330 336 337.2 338.6 342.3 347.5 348.2 354.7 355.9 357.7 365.1 366.5 367.5 368.6 380.9 384.5 389.1 396.4 407.2 460.3 463.8 470 479.2 481 482.5 491 504.1 544.7 593.2,1148928 296320 2325504 83432 1161 1124 365 164 225 446 3163 4443 2963 45160 69384 754304 342656 2276352 100952 1523 753 9553 7876 94192 62768 392704 223424 1301504 77008 4367 630 622 272 7391 1820 14967 4119 34640 60168 282816 118408 901696 47968 1779 2419 290 3251 20232 42008 207168 88624 300288 28600 869 741 248 307 2580 313 7228 19800 116776 73840 196032 17152 548 264 595 1780 14887 52392 54728 147264 14253 1606 331 2534 9989 25568 39872 108704 14066 467 390 1268 629 1743 3840 7766 37560 74664 8066 888 474 2329 4695 31968 67752 7946 218 325 3102 4366 22248 48640 7784 999 967 307 3019 2160 24776 39728 4358 374 337 596 232 4756 1831 426 2599 16672 33824 6341 395 171 189 952 941 14589 31656 5533 458 178 968 16464 24752 2465 322 622 925 9932 22792 4152 403 14232 22928 2123 2338 844 279 15179 10821 3959 221 298 180 8107 18296 5672 942 333 5300 17048 3600 715 2294 8039 1585 751 192 628 199 1584 6965 2353 264 455 283 1225 795 684 375 23888 10128 802 199 662 320 304 385 160 375 371 852 558 775 373 258 487 244 
17,,C28,28,40.054,2812.4,338,40.1 41.1 42.1 43.1 44.1 44.9 47.2 50.1 51.2 52.2 53 54.2 55.1 56.1 57.1 58.1 59.3 63.8 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73 74.2 75 75.3 77 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.2 87 87.9 88.7 91 93.1 94.1 95.2 96.1 97.2 98.2 99.1 100.2 102.9 103.9 105.2 106.9 108.1 109.2 110.2 111.1 112.2 113.1 114.2 115.3 117.1 118.7 120 122.3 123.3 124.3 125.2 126.1 127.1 128.2 128.9 135 135.6 137 137.2 138.2 139.2 140.2 141.1 142 143.2 144.3 147.1 148.9 149.1 150.8 151.3 152.2 153.2 154.2 155.2 156.2 157.1 157.8 161.3 162.8 164.2 165.2 166.1 167.2 168.2 169.2 170.1 170.9 177.1 178.8 180.3 181.2 182.3 183.2 184.3 185 186.2 188.8 190.1 191.2 193.4 194.3 195 196.2 197.2 198.3 207.1 207.8 208.3 209.1 210.3 211.3 212.3 214 221.2 221.9 222.4 223.1 224.2 225.2 226.1 227.4 236.3 237.1 238.4 239.4 240.3 246.8 249 251.2 252.3 253.2 254.1 254.4 255.3 257.1 259.2 260.6 262.1 266.4 267.4 268.4 269.4 271.2 276.3 278.5 280.6 281.2 282.2 283.5 294.5 295.4 296.4 297.5 306.2 308.1 309.4 310.1 311.3 312.6 314.9 316.4 322.3 323.3 324.2 327 327.7 328.3 336.1 336.6 337.3 338.3 339.3 341.3 342.6 343.3 345 346.2 348.5 350.4 351.2 352.2 352.9 355.9 357.2 364.3 365.4 366.5 367.2 377.2 379 390.2 394.5 395.4 396.3 400.8 401.3 404.9 405.7 407.1 419.4 429 455.9 465.2 478.8 507.9 522.7 546.8 579,19168 607936 153280 1294848 45216 1078 481 1827 1616 1948 35520 42896 418368 204672 1339392 66200 1943 915 4649 2772 61240 37712 241408 136576 785728 38376 4867 676 540 714 5209 9367 1966 28448 36384 180096 64920 513280 30712 343 279 400 2745 1349 798 10727 31024 137152 41288 176768 8875 698 447 704 591 257 6331 10796 81280 36496 125904 10151 173 593 227 160 555 2213 6311 31072 38312 80680 8694 325 352 707 322 346 2722 14104 24984 56304 6454 891 325 825 435 546 471 368 2435 6579 25096 46600 6543 463 796 486 216 188 1047 1091 4937 17032 29032 2756 209 654 299 2414 4008 13940 22048 2879 729 556 564 596 728 1797 1659 2884 10772 27136 4557 1459 1133 812 2282 10931 21192 3157 404 2134 696 1235 1750 7212 15856 1640 216 621 491 7923 18824 4729 371 449 1143 6067 13488 2914 3398 493 861 506 190 532 4695 11556 2284 354 237 444 848 3945 11881 2492 428 6370 10283 3781 823 286 4420 10868 1840 872 531 963 280 3864 10404 3280 198 569 511 1383 3000 11087 5004 277 498 330 910 435 268 194 636 5044 1094 1458 795 277 891 2790 502 392 208 243 851 10231 2811 658 1132 519 1246 898 705 204 211 208 164 519 483 248 474 423 
18,,C30,30,42.255,3011.3,352,41.1 42.1 43.1 44.1 45 48.1 50 51.2 52 53.1 54.2 55.1 56.2 57.1 58.2 59.1 62.8 63.5 64.1 65.1 67.2 68.2 69.1 70.1 71.1 72.1 73.1 74.1 76 77.1 78 79 81.1 82 83.1 84.1 85.1 86.1 89.8 91.1 91.9 93 93.5 95 96.2 97.1 98.1 99.1 100.1 101 102.7 103.8 104.7 106.1 107.3 107.9 109.1 110.1 111.2 112.2 113.2 114.1 115.2 119.8 120.9 123.1 124.2 125.2 126.1 127.2 128 133.2 133.9 135 136.1 137.2 138.2 139.1 140.2 141.2 142.2 146.9 149.9 152.1 153.1 154 155.2 156.1 157.4 162.8 164.8 166.2 167.2 168.3 169.2 170.1 171.6 175 176 177 177.8 178.7 180.3 181.1 182.2 183.2 184.3 186.3 190.9 191.7 192.3 192.9 193.7 194 195 196.2 197.3 197.9 198.5 199.3 207.1 208.2 209.1 210.2 211.3 211.9 213.7 214.3 220.7 221.2 222 223 224.3 225.3 226.3 236.2 237 238.2 239.2 240.3 241.2 250.3 252.1 253.2 254.1 255.3 257 264.3 264.8 265.1 266.4 267.1 268.2 268.8 280.4 281 282.3 282.9 283.9 286.1 293.2 294.4 295.4 296.3 308.3 309.4 310.5 311.2 311.7 314.5 316.1 321.9 323.4 324.2 324.7 325 326.1 327 328.8 330 330.9 336.2 336.6 337.4 338.1 339.4 340.2 341.2 342.4 343.3 345.3 346 350.5 351.5 352.3 353.6 355.1 356 356.8 357.9 363.3 364.4 365.2 367 374.1 378.4 379.5 380.4 387.1 387.8 388.8 392.3 393 393.6 394.1 398.8 400 401 402.6 405.1 415 415.7 417.1 418.1 422.6 423.4 424.7 429.2 430.2 430.7 431.2 450.6 464.3 466.5 478 491.1 503.3 503.5 505 532.3 567.6 587.2,293504 82856 647680 22656 457 969 1706 1500 2324 14183 25472 222336 111656 725120 29272 885 1383 289 360 4290 26320 23048 130384 65912 422976 19184 10290 503 225 2537 988 4270 12128 20112 86488 38296 282944 23232 654 2614 336 753 474 5683 8562 70944 26304 118832 9866 678 438 449 633 185 170 152 1587 5606 39304 20080 60200 7015 438 669 534 1377 3617 20032 15737 39320 5442 1399 407 3304 627 2297 3146 7040 14349 32992 3797 1918 194 3113 5775 10863 22200 4763 637 1339 352 1207 2902 10152 19920 4883 563 206 597 422 466 293 932 3630 9894 14245 3418 151 2030 835 1293 1076 853 869 3418 9425 12734 1632 223 251 7512 1579 2679 4955 10878 1579 365 513 788 1372 1239 541 4780 3873 3279 1190 620 3671 15723 605 388 1227 4434 6641 1735 536 482 491 238 242 3195 8538 1866 304 2866 7632 2831 1073 694 380 291 1834 6723 1433 3376 6177 2016 367 385 285 381 270 7036 1062 666 497 318 566 495 259 592 958 1077 4714 1245 323 181 975 440 1420 155 216 1527 6501 779 792 1842 462 290 1031 332 1067 3612 265 1551 2354 2550 632 282 670 420 1616 1229 1317 528 408 784 488 282 1666 673 358 255 433 5164 3307 378 3317 476 168 282 554 332 259 663 284 518 530 373 240 612 317 
19,,C32,32,44.323,3207.4,366,40.1 41.1 42.1 43.1 44.1 44.9 50.1 51.2 51.8 52.3 53.1 54.1 55.1 56.1 57.1 58.1 59.1 60.9 63.2 65 66.3 67.1 68.3 69.1 70.1 71.1 72 73.1 74 74.9 77 78.1 78.4 79.2 81.2 82.1 83.2 84.1 85.1 86.2 87 88.9 91.1 92.9 94 94.6 95.2 96.2 97.1 98.1 99.2 99.9 103 103.6 105.4 107.4 109.2 110.3 111.1 112.1 113.1 114 115.3 116 117.2 119 119.8 120.7 121.9 122.4 123.8 124.3 125.2 126.2 127.1 128.1 129.1 131.1 133.2 134.2 135 137.2 138.1 139.1 140.2 141.2 142.4 145.3 146 147.1 147.8 149 150.2 152.2 152.9 153.4 154.1 155.2 156.2 157 157.9 163.1 165 165.2 166.1 166.4 167.1 168.1 169.2 170.2 171.2 176.2 176.9 177.6 178.1 179.1 181.2 182.1 183.3 184.2 186.6 188.8 189.9 191 191.7 193.1 193.8 194.3 195.1 196 197.2 198.3 200.9 207.1 208.1 209.1 210.3 211.4 212.2 214.9 216.1 220.9 221.6 222.2 222.8 224.2 225.3 226.4 236.1 237.2 238.3 239.1 239.6 240.4 241.5 246.2 249 250.6 251.6 252.4 253.2 254.1 254.7 259 264.8 265.8 266.3 267.3 269 271.9 277.5 279.1 280.7 281.2 282.2 283.1 289.9 294.1 295.4 296.8 302.3 308.6 309.4 310.5 311 311.5 313.2 314 314.9 316 319.3 322 323.2 325 326.7 327.1 327.7 328.8 331 336.1 337.5 338.6 341.1 343.2 346.7 347.3 350.3 351.4 354.9 356.2 357.1 358 362.9 364.3 365.1 366.5 371 376.9 378.1 378.5 379.1 379.6 380.4 384 387.6 388.1 389 392.6 393.3 394.6 398.7 399.3 401 401.8 402.8 404.4 404.9 405.4 406.4 407.4 407.9 408.7 414.8 415.9 416.8 419.9 420.7 421.5 422.5 423.6 428.8 430.1 431 433 434.5 444.9 450.5 451.6 462.3 474.9 475.4 480 504.1 505 513.5 534.2 534.8 551 553.7 584.8 590.6 598.6,2508 117904 27568 261568 14888 2384 228 1180 311 533 3933 10944 87848 44560 281536 16365 1607 985 470 921 970 16167 7495 40504 32160 181504 9214 10279 1443 2927 1000 568 368 2464 4557 8062 35944 16720 127264 7065 792 488 2859 974 240 1131 3920 7972 36848 15258 32856 4716 1181 164 351 607 1166 4346 27960 10910 24360 3124 305 468 1288 2640 184 317 163 287 1437 1592 7186 9549 25672 2201 526 1660 2754 272 6275 997 421 4205 6220 15474 988 200 184 3489 696 530 237 1262 3116 1725 3516 9420 2545 160 561 1431 777 751 1951 1557 1079 3570 10098 1411 314 516 1710 427 276 441 988 2670 7506 1405 601 198 312 2969 1872 2546 1087 1057 3619 1672 6282 967 281 10204 2668 2027 3671 3803 1232 177 275 767 453 540 755 1619 3104 587 441 567 2323 2969 1712 881 291 210 961 268 973 1089 5319 2664 2116 468 1347 803 1749 4601 1338 310 234 349 3550 5052 1437 2139 379 1408 3163 215 308 837 3068 1467 222 241 325 308 650 614 218 403 2678 691 926 1131 718 329 386 1021 1579 655 1107 2926 380 258 1564 1876 2594 859 1209 633 521 1079 3047 1266 472 257 600 494 813 983 421 605 930 225 804 751 2277 1083 656 342 676 446 428 595 1635 361 1600 899 1129 429 1191 299 640 376 257 730 232 157 501 245 1278 302 380 341 3203 719 288 796 861 961 1364 751 250 282 505 504 170 503 265 188 
20,,C34,34,46.333,3400,380,41.1 42.2 43.1 44.2 45 47 48 50.9 53 54.4 55.1 56.2 57.1 58.1 59 60.2 60.8 64 65.2 67 68 69.1 70.2 71.1 73.2 74.2 75.1 76.2 76.9 77.6 78.9 80.2 81.1 82.2 83.1 84.1 85.1 86.2 88.8 89.5 90.2 91.1 95 96.1 97.1 98.1 99.2 100.4 100.6 101.8 103 105.2 109.1 110.1 111.3 113.1 114 115.1 116.3 117.1 118.9 122.8 123.8 125.2 125.9 127.2 128.3 131.7 133.1 134.1 135 136 136.9 138.1 139.3 140.1 141.1 142.1 145.8 147.1 147.8 149 150 150.9 151.5 152.4 153 154 155.2 156.3 157.7 158.2 160.7 161.1 163 164.1 164.7 166.1 167.2 167.9 169.2 173.2 177.2 178.8 179.9 181.2 182.2 183.3 187.5 191 192 193 194.1 194.9 196.1 197.1 198.3 204 204.8 205.3 207 208 208.9 210.3 211.1 212.2 213 215 221.1 222.1 223.1 223.8 224.2 225.1 228.8 232.2 236.2 237.5 238.1 238.6 239.4 240.6 248.6 249.1 250.1 251 253.1 254.8 255.2 263.9 265.1 266.3 267.2 268.2 268.9 270.3 270.8 275.7 277.5 279.3 281.2 282.1 283.2 283.7 285 290.5 294.4 295.1 295.6 296.3 297 297.6 309.3 311.2 313.7 315 316.7 322.5 323.4 325.9 326.8 328.2 329 331 331.7 332.3 333.1 333.6 335.1 336.4 337.4 338.3 341 341.9 342.6 342.8 343.2 344 344.7 345.6 346.2 346.8 350.2 351.5 355.2 356.1 357.3 358.2 358.8 364.5 367.1 369.2 376.9 378 379.4 380.2 384.7 385.2 386.7 389.9 390.8 392.5 393.5 399.1 400.2 400.8 401.7 402.6 403.2 404 404.9 405.8 407.2 408.9 414.2 415.1 417 418.4 420.1 421.5 422.5 425 429 429.9 433.4 434.8 437.5 446.6 449.2 454.9 473.3 474.9 477.3 477.8 479 479.7 487.2 488.9 490.2 490.7 493.8 503 504.2 506 507.8 515.1 525.2 530.3 538.2 543.7 552.9 567.8,31928 11711 79216 3699 2850 440 160 1705 2848 2471 29480 11781 86544 7110 1091 825 2399 265 505 3197 2399 15017 8948 79160 21368 1106 2907 220 671 1247 1082 266 3010 2439 18216 7715 41448 2114 223 347 281 2591 1132 4458 9348 2539 14931 458 432 501 772 1237 804 877 5456 14338 1066 458 476 563 862 262 231 1916 1425 9495 856 752 4978 719 4990 190 1002 972 984 3188 5766 365 182 5902 380 290 457 742 741 486 1448 2295 4475 2627 1461 757 199 202 688 793 849 277 1103 2551 4177 266 420 1104 904 1104 2950 3299 269 2707 854 4469 452 2233 2372 5555 980 390 158 155 15238 5633 3031 2457 2301 221 355 751 4483 669 841 772 969 4567 399 633 467 438 783 785 3776 711 249 523 429 893 5370 1014 1778 549 712 1728 2559 1602 531 369 158 362 378 528 9055 919 1665 923 850 182 954 1263 1107 524 364 633 321 240 246 1114 244 1237 1723 228 3715 758 1309 1496 1093 470 196 463 165 485 1324 363 2797 701 1320 1251 1102 441 178 189 827 657 667 855 5001 153 1586 994 780 249 811 1181 1035 299 982 476 279 401 888 210 637 403 932 560 566 632 1018 413 619 440 1124 1336 782 302 171 844 563 475 501 266 339 422 983 1517 298 868 430 386 798 173 494 1014 387 902 894 1126 335 733 426 301 232 448 676 741 295 328 480 212 274 850 161 749 
