"ALKRT","Cn","Intensity"
409.507,10,18106806
618.691,11,9868538
800.01,12,12354866
957.28,13,13649390
1097.37,14,14742231
1225.63,15,15415308
1344.73,16,16073435
1456.58,17,16962660
1562.69,18,17729326
1662.7,19,11772313
1760.43,20,27267334
1939.07,22,24610876
2103.98,24,24118822
2256.29,26,23667442
2397.52,28,17727732
2529.98,30,7383882
2655.95,32,853216
2714.28,33,0
2771.06,34,0
2826.2,35,0
2879.78,36,0
