SeqIndex,HMDB_Number,Compound,Cn,RT,RI,MW,MZ,Intensity
1,,C8,8,,,114,40.1 41.1 42.1 43.1 44.1 45.1 46 50 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 75.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.2 86.2 87.1 91.1 92.9 94.9 96.1 97.1 98.2 99.2 100.2 101.1 105.1 111.2 112.2 113.2 114.2,18920 497728 174656 1336832 44952 727 151 1477 4731 2806 27440 19464 237184 355840 1967616 87352 1456 178 734 175 4882 1413 12471 10732 114008 330112 941824 50216 1228 227 2992 803 2868 386 1394 8779 34368 269120 736128 48056 1245 626 187 158 428 5688 188416 242112 19056 629 318 1484 79056 152832 12994
2,,C9,9,,,128,40.1 41.1 42.1 43.1 44.1 45.1 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 75 77 78.1 79.1 80 81.1 82.1 83.1 84.1 85.1 86.2 87.1 91.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 111.2 112.2 113.2 114.2 115.2 125.1 126.2 127.2 128.2,8625 251904 84800 681920 23424 300 630 1913 1127 13061 11153 126224 176576 1074176 47176 835 275 172 2508 822 7577 7732 67568 159360 622720 33376 819 195 1501 494 1468 230 1032 7845 28520 117360 387712 25176 676 450 258 1876 11336 107816 102696 8239 309 1355 53640 77040 6674 351 265 23616 48408 4460
3,,C10,10,6.933,1000,142,40.1 41.1 42.1 43.1 44.1 45.1 46 47 48 49 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63 64 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 77 78 79.1 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 89 91 92 93 95.1 96.1 97.2 98.1 99.1 100.1 101.1 103.9 105 110 112.1 113.1 114.1 115.1 117.9 118.9 126 127.1 128.1 133 140.1 142.2 143.2 144.1 154.1 207 208 208.9 281,62160 1512448 509952 3535872 121864 1687 353 223 166 260 4343 13707 8337 76272 54808 600448 818304 4169728 184512 3308 561 1846 694 11786 4369 32952 22848 235648 659072 1774080 95496 2524 279 264 7334 4424 6451 782 3245 14998 62904 479104 1278464 83504 2236 206 1899 400 304 509 994 11099 315136 391232 31608 907 150 275 230 125728 245568 20168 1091 161 244 1570 2173 291 185 1953 435584 46488 2151 243 1273 263 229 562 
4,,C11,11,10.413,1123.1,156,40.1 41.1 42.1 43.1 44.1 45.1 45.9 49 50 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62.9 64.2 65 66 67 68.1 69.1 70.1 71.1 72.1 73.1 74.9 77 78.1 79.1 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91.1 93.1 95 96.1 97.1 98.1 99.1 100.1 101.1 112.1 113.1 114.1 115.1 126.1 127.1 128.1 129.1 140.1 141.1 154.1 156.2 157.1 158.2 207 281.1,29920 760896 249472 1760768 67352 916 182 228 1702 5927 3791 40160 32064 327104 406656 2310656 102880 1724 992 441 6124 2514 21520 17064 143616 322880 1200128 64952 1455 166 3767 2093 4498 443 2859 15689 54584 211200 687360 46904 1170 1290 282 639 3208 19808 179008 161216 13245 301 88328 126408 11426 450 36208 76928 7947 435 466 948 1690 196224 24008 1215 750 180 
5,,C12,12,13.422,1217.6,170,40.1 41.1 42.1 43.1 44.1 45 46 49 50.1 51 52.1 53 54.1 55.1 56.1 57.1 58.1 59.1 62.9 64 65 66 67.1 68.1 69.1 70.1 71.1 72.1 73.1 77 78.1 79.1 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 92.9 95.1 96.1 97.1 98.1 99.1 100.1 101.2 105.1 109 110.1 111.1 112.1 113.1 114.1 115.2 124 126.1 127.1 128.1 129.1 132.9 140.1 141.1 142.1 143.1 154.1 155 166.1 168.1 170.2 171.2 172.1 206.9,31176 882432 278016 2018816 73696 771 195 197 1901 5878 3666 45184 41040 410944 464960 2777088 124528 1908 849 243 7666 2950 30120 26008 191168 368512 1657344 91888 2157 4213 2056 5576 1012 4431 28488 93520 236736 967232 65176 1851 1469 320 962 8476 44592 207488 209344 17208 496 239 277 1622 12587 142144 152000 12047 779 207 71648 122320 11792 529 180 31336 65080 7045 305 554 875 436 1909 241856 31568 1973 613 
6,,C13,13,16.037,1313.4,184,40.1 41.1 42.1 43.1 44.1 45 48.8 50 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73 74.1 77 78 79 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 92 93 95 96.1 97.1 98.1 99.1 100.1 101.1 104.9 109.1 110 111.1 112.1 113.1 114.1 115 124.2 125.1 126.1 127.1 128.1 129.2 140.1 141.1 142.2 143.1 153.1 154.2 155.1 156.2 157.1 168.2 169.2 182.1 184.2 185.2 186.2 207 280.9,29504 882112 269824 2037760 73312 1005 284 1468 5402 3099 44896 45648 455424 471040 2937856 129864 1845 742 7007 3663 36576 33528 220672 383488 1936384 106328 2330 165 4694 1708 6060 953 6555 40024 125928 242688 1192448 78952 2292 1601 436 405 1141 13578 74864 212160 277504 21888 835 150 248 3538 24864 163584 170816 14169 731 957 5362 110640 150592 14290 653 56992 102984 10283 543 233 24544 53928 6263 292 254 822 1697 261696 35360 2564 525 165 
7,,C14,14,18.372,1410.5,198,40.1 41.1 42.1 43.1 44.1 45 46 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 61.9 63 64 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 77.1 78 79 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 92.1 92.9 94 95 96.1 97.1 98.1 99.1 100.1 101.1 105.1 109 110.1 111.1 112.1 113.1 114.1 115.1 124.1 125.1 126.1 127.1 128.1 129.1 138.1 140.1 141.1 142.2 143.1 154.1 155.1 156.1 157.1 167 168.2 169.2 170.2 171.2 182.1 183.2 184.3 196.2 198.2 199.2 200.2 207,26608 883008 259584 2043904 75936 1025 165 1593 4462 2811 44056 47520 495488 473792 3051008 136704 2417 177 615 207 7288 4164 43568 40592 248512 389632 2100736 115328 2626 4857 1800 6848 1157 9952 48928 151360 249664 1390592 87256 2689 1401 331 607 184 1873 20288 105544 207296 369280 29128 945 249 297 7191 42536 172672 205824 17544 932 1816 12947 130880 162688 15662 671 526 91856 134080 14597 867 45792 89648 10506 563 166 19768 45624 5937 356 292 638 173 1716 266880 39840 3115 425 
8,,C15,15,20.51,1508.7,212,40.1 41.1 42.1 43.1 44.1 45.1 49.1 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 77.1 78 79 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 92 92.9 93.9 95.1 96.1 97.1 98.1 99.1 100.1 101.1 105 109.1 110.1 111.1 112.1 113.1 114.1 115.1 123 124.1 125.1 126.1 127.1 128.1 129.1 138 139.2 140.1 141.1 142.1 143.2 152 154.2 155.2 156.2 157.1 168.2 169.2 170.1 171.1 182.2 183.2 184.2 185.1 196.3 197.2 206.8 208 210.2 212.2 213.2 214.2 215.1 281,24896 844288 243328 1990656 73192 788 150 1352 4029 2555 41208 50704 524224 461760 3091456 137664 2194 585 7212 4072 48592 45912 278016 391104 2203648 119624 2755 4717 1687 7260 1227 11663 58920 175680 245440 1497088 96216 2644 1546 258 546 242 2978 27768 131392 202240 447744 33656 1214 242 670 12283 61304 168512 255296 21552 758 178 3935 21080 139776 176704 17248 720 1172 4316 102416 140800 14422 631 373 75624 119480 13612 799 37832 77688 9751 530 17792 38976 5794 427 269 624 174 168 2215 271936 43288 3373 185 223 
9,,C16,16,22.495,1607.4,226,40.1 41.1 42.1 43.1 44.1 45 45.8 48.1 49 50.1 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62.9 63.9 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 77 78 79.1 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 91.9 93.1 94 95.1 96.1 97.1 98.1 99.1 100.1 101.1 105.1 107 109.1 110.1 111.1 112.1 113.1 114.1 115.2 123.2 124.1 125.1 126.1 127.1 128.1 129.2 138.1 139.1 140.1 141.1 142.2 143.1 152.2 153.2 154.1 155.2 156.2 157.1 166.2 168.2 169.2 170.2 171.1 182.2 183.2 184.2 185.2 196.2 197.2 198.2 199.2 207 210.2 211.2 224.3 226.2 227.3 228.2 229.3,22576 822208 232768 1947648 72952 896 171 156 174 1328 3449 2284 39008 53176 550720 453952 3122176 141696 2544 468 226 7224 4556 55248 49864 303808 384576 2266112 125432 2929 4842 1682 7776 1289 14998 67160 199040 242496 1594368 103960 2859 1530 215 679 302 3953 33800 159616 203328 510528 40472 1533 214 176 926 15090 79192 169088 306368 26488 1185 207 6774 32968 141696 204992 20456 802 2096 7306 111656 153792 16640 812 837 2519 84080 132672 14711 963 224 63880 110936 13517 851 30984 70112 9692 753 14875 34728 5344 390 406 280 965 1774 260352 46288 3644 195 
10,,C17,17,24.359,1706.5,240,40.1 41.1 42.1 43.1 44.1 45 49 50.1 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73 77 78 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 90.1 91 92.1 93.1 94 95.1 96.1 97.1 98.1 99.1 100.1 101.1 105.1 109 110.1 111.1 112.1 113.1 114.1 115.1 123 124.1 125.1 126.1 127.1 128.1 129.1 137 138.1 139.1 140.1 141.1 142.2 143.1 152 153.2 154.2 155.2 156.2 157.1 165 166.1 168.2 169.2 170.2 171.2 178.9 180 182.2 183.2 184.2 185.2 195.1 196.2 197.2 198.2 199.1 206.9 207.8 210.2 211.2 212.2 213.1 224.2 225.2 238.3 240.3 241.3 242.2 243.2,21240 806528 223296 1955328 73560 869 212 1576 3249 2076 36728 56720 579904 456832 3193344 142656 2484 194 654 6449 4950 59816 57920 326208 384000 2382336 131776 2867 4335 1529 8580 1857 20112 75184 230208 249984 1682432 112000 2983 156 1635 286 756 377 5077 40808 185664 201280 569408 44360 1768 192 1160 20992 95880 167616 357760 30568 1545 407 9232 43936 142272 243968 22992 1412 190 3856 12676 117864 180608 18280 1079 1883 5018 94616 136832 17240 856 341 850 74000 121776 15508 986 155 182 57136 107704 14096 1042 379 29128 66440 10107 754 308 176 13783 31768 6552 762 218 819 2194 263936 49792 4369 251 
11,,C18,18,26.121,1805.9,254,40.1 41.1 42.1 43.1 44.1 45.1 49 50 51.1 52 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62.2 63.1 64.1 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73 77 78 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91.1 92 93.1 93.9 95.1 96.1 97.1 98.1 99.1 100.1 101.1 105.2 107.1 108 109 110.1 111.1 112.1 113.1 114.1 115.1 123.1 124.1 125.1 126.1 127.1 128.1 129.2 137.1 138.1 139.1 140.1 141.1 142.1 143.2 151 152.1 153.2 154.1 155.2 156.1 157.3 165 166.1 167.1 168.2 169.2 170.2 171.2 180.1 181.1 182.2 183.2 184.2 185.1 196.2 197.2 198.2 199.1 207 210.2 211.2 212.2 213.2 224.2 225.2 226.2 227.2 238.3 239.3 240 240.3 252.2 254.3 255.3 256.3 257.1,20648 778880 212672 1909760 71832 787 242 1287 3106 2311 34472 57888 603840 447424 3232256 142592 2454 156 679 238 6809 5038 63952 61168 360320 392960 2463744 132864 2736 4197 1566 8602 2138 22336 85048 259904 256320 1772544 114896 3182 1537 246 1021 434 6956 48032 215296 205312 627584 47568 1502 335 190 161 1667 25912 117376 175040 405376 35040 1296 855 12369 54040 145088 279872 26312 1401 268 6090 17104 126976 203200 21552 936 154 2483 7836 103744 157696 18328 957 170 1217 3199 84152 132224 16293 869 473 1303 65088 116072 15290 978 53552 101904 14485 1080 428 25080 59888 10657 867 11638 31840 5500 456 246 675 173 164 1851 262656 53040 4747 244 
