Serial_Number,SourceLib,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope,,
54,Organic Acid,,3-methylglutaconic acid (e),,,,19.499,1452.26,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49 50.1 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 60 61.1 62.1 63.1 64 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88 89.1 90 91.2 91.7 93 94 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102 103 104 105 106 107 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119 120 121.1 123 124 125.1 126.1 127.1 128.1 129.1 131.1 132.1 133.1 134.1 135 136 137 138.1 139.1 140.1 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150.1 151.1 152.2 153 154.1 155.1 156.1 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165 166 167 168.1 169.2 170.1 171.1 172.1 173.1 174.1 175.1 176 177 178 179 180.2 181.1 183.1 184.1 185.1 186.1 187.1 188.1 189.1 190.1 191.1 192 193 194 195 196 197.1 198.1 199.1 200.1 201.1 202.1 203.1 204.1 205.1 206 207.1 208 209.1 211.1 212 213 214.1 215.1 216.1 217.1 218.2 219 221.1 222.2 223.1 225 227.1 229.2 230.2 231.1 232.1 233.1 234.1 235 239.2 242 243.2 244.2 245.2 246.2 247.2 248.1 249.1 251.2 253 254.2 255.1 256.1 257.1 258.1 259.1 260.1 265.1 269.1 271.1 273.2 274.2 275.2 276.2 277.1 278.1 281.2 282.2 287 288.2 289.2 290.2 291.2 361.3 362 366.2 435.3,2104 3472 5127 23080 21512 117520 8173 34496 1645 1385 1163 3419 7021 54640 35088 9136 2368 7861 11676 26776 6132 23568 1774 1266 396 1655 9437 19200 3540 7681 7437 7410 36128 1256960 114456 298688 20296 16236 1777 4224 3054 19048 522944 46968 4386 9970 1747 4443 3302 4178 712 1097 728 2004 739 6776 5099 37136 8980 37696 4299 12554 2206 5983 964 3852 674 1830 28368 464512 32560 64064 52312 20088 5706 10409 11085 24520 3605 7087 1025 1073 1407 534 3899 11258 17392 3627 63656 31856 5711 108408 15840 10337 1199 1043 1355 25352 3632 10121 63848 24256 5019 3390 1895424 305792 177088 19752 6622 682 1320 1493 14025 36112 17712 4382 4754 1030 3593 1192 4687 679 648 199 974 758 4717 389184 64080 20064 11012 2856 2368 559 986 280 263 214 753 616000 85984 30648 2993 3525 1197 2343 1765 1387 529 394 237 313 559 12892 840000 152512 45256 33248 8441 3416 1897 699 272 1187 236 260 305 166 1087 718 12061 6297 2862 758 281 1310 323 204 349 441 404864 89240 101536 17552 6521 946 276 177 161 10075 65744 16392 6295 1115 328 277 165 257 157 434 164 11023 2482 1120 446 161 190 951 561216 127056 55512 8379 1734 321 778 165 269 16424 3728 1637 211 651 201 265 229 ,-0.01896,2.32853,0.9934,0.9918
56,Organic Acid,,3-methylglutaconic acid (z),,,,20.37,1492.07,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49.1 50 51.1 52.1 53.1 54.1 55.1 56.1 57 58.1 59.1 60.1 61.1 62 63.1 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92 93 94.1 95 96.1 97.1 98.1 99.1 100.1 101.1 102 103 104 105.1 106.1 107.1 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119 120 121 121.9 123 124 125.1 126.1 127.1 128.1 129.1 131.1 132.1 133.1 134.1 135.1 136 137.1 138.1 139.1 140.1 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150.1 151 152 153.1 154 155.1 156.1 157.1 158.1 159.1 160 161.1 162.1 163.1 164.1 165.1 166.1 167 168.1 169.1 170.1 171.1 172.1 173.1 174 175.1 176.1 177.1 178 179.1 180.1 181.1 182.2 183.1 184.1 185.1 186.1 187.1 188.1 189.1 190.1 191 192 193 194 195.1 196.2 197.2 198.1 199.1 200.1 201.1 202.1 203.1 204.1 205.1 206.1 207 208.1 209 211.2 213.1 214.1 215.1 216.1 217.1 218.1 219.1 221.1 221.9 223.1 227.3 229.2 230.2 231.1 232.1 233.1 234.1 235.1 239.1 242.1 243.2 244.2 245.2 246.2 247.2 248.2 249.1 250 253.1 255.1 257.1 258.1 259.2 260.1 263.1 267 269.2 271.2 272.2 273.2 274.2 275.1 276.2 277.1 281.2 282.1 283.1 287.2 288.2 289.2 290.2 291.2 361.3 362.2 363.2 435.2,2305 3648 5806 24296 21488 119488 8168 38144 1633 1561 1067 3321 7429 49520 36080 9464 2047 7820 13325 25704 7594 34360 2292 1509 273 2258 8828 22488 3702 7188 7025 7809 39888 1464832 134912 349440 24568 16896 1859 3792 3296 26320 527360 45832 4479 10319 1849 4431 3711 6220 911 1181 1414 1553 533 6277 4912 40472 8236 37080 4489 13337 2192 5660 861 3489 732 2107 52840 262208 18368 49200 53528 19864 6204 12233 13265 27904 3891 7013 985 1010 419 1231 434 3294 12109 23256 4372 66480 33392 6183 114000 15639 11226 1223 956 1503 25208 3924 14252 122504 33688 8163 3759 1822208 290752 173952 18016 6356 738 1629 1894 19480 42480 21832 4346 5220 780 4608 1363 4553 885 714 215 607 631 4577 332224 60936 17872 11270 2024 2397 627 1038 239 358 257 821 2325 329216 45568 16840 1899 3323 1042 2230 1537 1206 415 362 196 269 467 7451 988928 159232 49720 34688 8919 3946 1934 694 205 749 263 264 247 920 622 12988 6669 3162 827 266 554 178 203 458 431040 93760 620672 121912 54136 6974 1599 164 203 9906 55576 14695 5787 1041 242 341 167 391 458 5560 1111 676 395 157 236 169 596 1486 398528 90632 38048 5770 1017 506 205 167 1947 15838 3864 1641 252 692 265 198 278 ,-0.02487,2.41417,0.9926,0.9907
72,Organic Acid,,"3,4-Dihydroxyphenylacetic acid",,,,26.955,1848.12,41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49.1 50.1 51 52 53 54 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.2 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80 81.1 82 83.1 84.1 85 86.1 87.1 88 89.1 90.1 91.1 92.1 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102 103.1 104.1 105.1 106.1 107 108.1 109.1 110 111.1 112 113.1 114 115.1 116.1 117.1 118.1 119.1 120.1 121.1 122.1 123.1 124 125 126 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.1 138 139.1 140.9 141.9 143.1 144.1 145.1 146.2 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154.1 155 156.1 157.1 158 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.1 167 168 169.1 169.9 171.1 172 173.1 174.1 175.1 176.1 177.1 178.1 179.1 180.1 181.1 182.1 183.1 184.7 187 188 189.1 190.1 191.1 192.1 193.1 194.1 195.1 196.1 197.1 198.1 199 201.1 202.1 203.1 204.1 205.1 206.1 207.1 208.1 209.1 210.1 211.1 212.1 213.1 215.1 216.2 217.1 218.1 219.1 220.1 221.1 222.1 223.1 224.1 225.1 226.1 227.1 228.1 229.1 231.1 232.1 233.1 234.1 235.1 236.2 237.1 238.2 239.1 240.1 241.2 242 245.1 247.1 248.1 249.1 250.2 251.2 252.2 253.1 254.1 255.1 256.1 257.2 259.2 261 262.1 263.1 264.2 265.2 266.2 267.2 268.2 269.2 270.2 271.2 272.2 273.2 274.2 275 277.1 278.2 279.2 280.2 281.2 282.2 283.1 284.2 285.2 291.1 292.2 293.1 294.2 295.2 296.2 297.2 298.1 299.2 305.2 307.1 308.2 309.2 310.2 311.2 312.2 313.2 314.2 315.2 321.2 322.2 323.2 324.2 325.2 326.2 327.2 328.3 337.2 338.1 339.3 340.3 341.3 342.3 343.3 344.2 345.3 347.1 353.2 354.3 355.3 356.2 357.3 358.2 359.2 363.3 364.2 365.5 367.2 369.3 370.3 371.3 372.3 373.3 374.2 375.1 377.1 379.9 380.3 381.4 382.4 384.3 385.3 386.3 387.3 388.3 389.3 390.3 391.3 441.4 456.3 457.4 458.4 459.3 460.2 465.2,479 810 11339 17224 151168 9888 13531 444 326 337 1712 681 881 207 2518 915 5764 7914 22432 3484 11080 1170 1472 367 1485 1043 772 323 1449 4197 5610 32016 2287616 196992 279104 17848 19488 8883 2221 254 1052 998 4643 646 3867 573 4271 1344 9247 3194 17688 2209 1966 383 3999 950 3310 538 5379 584 2246 4634 25296 159104 39632 3189 2569 471 2452 467 1369 246 2263 491 18176 5152 29416 12511 55352 6398 6377 1143 2391 530 827 183 733 1193 3579 1437 51640 9349 86392 12893 32536 4880 4587 673 338 1010 238 3790 745 11715 3737 219456 39016 126904 19984 12930 1740 2462 400 696 252 2521 801 6071 2652 29600 12823 100984 18536 15040 3020 2362 392 1152 268 613 338 2165 1432 10855 5834 63656 74600 2608128 422592 135680 13647 1927 4983 899 320 4858 2158 22640 14483 106072 18720 22168 4045 2541 581 353 554 177 3357 1744 7529 29984 38224 10774 87096 17400 10043 1575 571 324 206 2353 1011 11031 3756 23456 7761 47392 11025 42944 8671 3771 566 378 1287 557 5134 2254 16340 19456 1018816 229312 96504 14229 2699 278 288 1645 739 7982 5719 110792 43640 93768 21008 8242 1281 467 179 387 301 3977 5416 225472 67256 2916352 756800 297280 50128 8081 923 1372 332 269 1177 623 3954 2984 97160 23224 11027 1836 545 663 716 1609 38608 12619 8065 2968 834 311 208 415 404 6029 1910 2351 1149 4224 1209 509 238 172 753 1886 4515 1499 1137 361 521 394 2928 264192 85728 40504 9199 2006 356 389 3127 1077 16020 5155 2556 571 180 380 197 186 2149 732032 243328 115744 25768 6145 1212 532 161 224 238 906 2186 4021248 1453056 694080 159104 38352 5909 923 157 160 703 1673 856 552 167 181 ,-0.0228,5.83941,0.9817,0.9771
52,Organic Acid,,4-Deoxythreonate,,,,17.76,1373.63,41 42 43.1 44 45 47 55.1 56 57.1 58.1 59.1 61 66 67 69.1 69.9 71.1 72.1 73.1 74.1 75.1 76.1 77 78 81.9 83.1 85.1 86 87 91.1 93 94.9 96 99 100 101.1 102.1 103 104 105 113.1 115.1 116.1 117.1 118.1 119 129 130 131.1 132.1 133.1 134 135 143 147.1 148 149 150.1 151 163.1 175.1 177 188.1 189.1 190 191 192 203.1 204.1 205.1 206 207.1 209 218.2 219.1 220.1 221.1 222.1 223.1 231 233.1 252.9 277 281 292.2 293.2 294.2 295.1 321.2 322.1,782 382 1035 2548 1879 600 478 558 830 578 1068 328 195 168 341 224 367 846 22576 2028 5987 449 1200 468 156 165 270 210 466 213 262 152 170 285 213 560 4467 960 285 177 178 720 371 20760 2148 924 1427 2908 2483 377 2707 443 321 256 13450 2059 2217 272 342 262 175 179 161 1150 423 587 191 4170 1185 799 228 696 165 172 793 5361 2409 635 209 454 150 152 346 225 14422 4216 1940 357 1208 291 ,NA,NA,NA,NA
82,Organic Acid,,5-Hydroxyindoleacetic acid ,,,,32.426,2199.59,41.1 42.1 43 44 45.1 46 47 51 52.1 53 55.1 56.2 57.1 58 59.1 60.1 61 66 67 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77 78.1 79 81 83.1 84 85.1 86.1 87.1 89 91 93.1 95 96 97 99.1 100.2 101.1 102.1 103.1 104 105 109.1 111 112 113.1 114.2 115.1 115.9 117 118 119 120 125.2 127 128.1 129 130.1 131.1 132.1 133 134 135 140.1 141.1 142 143 144 145 146 147.1 148.1 149 149.9 151.1 153.2 154 155.2 156 157.1 158.1 159 160.1 161 163.1 165.2 168 169.1 170 171.1 172.1 173 174.1 175 176 177.1 179 182 183.1 184.1 185 186.1 187.1 188.1 189.2 189.9 191 193.1 195.1 196 197 198.1 199.1 200.1 201.2 202.1 203.1 204.1 205.1 206.1 207 208.1 209 211.1 212 213.1 214.1 215.1 216.1 217 217.9 219.1 220.1 221.1 222.1 223.1 228.1 229.1 230.1 231.1 232.1 233.1 234.1 240.1 242.1 243.1 243.9 244.2 245.1 246.1 247.1 248.1 249.1 256.1 257.2 258.1 259.1 260.1 261.1 272.1 274.2 275.1 276.1 277.2 278.1 279.1 281 286.1 287.1 288 289.1 290.1 291.1 292.2 293.2 294.2 295 302.2 303.2 304.2 305.2 306.2 307.2 308 314.1 315.1 316.2 317.1 318.3 330.2 331.2 332.2 333.2 334.1 349.3 378.3 379.3 380.2 381.1 404 406.3 407.2 408.3 409.2 420.3 421.3 422.3 423.3 424.3 425.3,447 264 1867 6078 8229 646 837 187 156 181 912 279 1449 675 2084 295 348 503 337 847 647 1267 1448 132224 10961 9499 739 1309 318 221 281 499 430 1041 176 346 262 337 321 219 151 389 513 169 384 986 951 226 438 196 393 202 430 303 2104 575 1169 307 701 171 162 396 531 1295 7264 2970 584 3355 762 552 282 596 1981 978 711 2129 877 26280 4107 2394 290 172 172 487 301 1209 455 665 617 841 337 155 199 186 690 2263 512 1549 410 1073 247 201 453 344 559 273 1772 887 3709 1317 1232 966 202 514 287 153 213 215 1028 845 16005 5324 638272 119496 32528 3908 364 1298 284 241 157 374 540 1843 3012 3564 786 471 535 176 1450 396 227 644 400 718 631 1312 320 157 307 1955 566 257 269 168 937 227 270 233 797 214 529 580 558 152 449 676 220 294 1149 339 269 389 384 159 722 305 608 186 11640 3032 1797 312 882 2434 9057 2873 1138 269 204 456 204 1831 590 402 650 5293 1952 1185 247 298 7364 2659 1275 364 197 8354 3305 1554 286 191 32560 11927 5190 1288 320 ,0.00041,0.47232,0.989,0.9854
57,Organic Acid,,Adipic acid,,,,20.849,1516.33,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48.1 49.1 50.1 51.1 52.1 53.1 54.2 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92 93 94 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102.1 103.1 104 105.1 106 107 109.1 110.2 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120 121.1 122 123.1 124.1 125.1 126.1 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137 138.2 139.1 141.1 142.1 143.1 144.1 145.1 146.2 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154.1 155.1 156.1 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166 167.1 168.1 169.1 170.1 171.1 172.1 173.1 174.1 175.1 176.1 177.1 178.2 179.2 181 182.1 183.1 185.1 186.1 187.1 188 189.1 190.1 191.1 192 193 194 197.1 198.1 199.1 200.1 201.1 202.1 203.1 204.2 205.2 206.1 207.1 208.1 209 211.1 213.2 215.1 216.2 217.2 218.2 219.2 220.2 221.1 222 223 225 226 227 228.2 229.2 230.2 231.2 232.2 233.2 234.2 235 241.1 244.2 245.2 246.2 247.2 248.2 249.2 250.1 251.2 252.9 257.2 258.1 259.1 260.1 261.2 262.2 263.1 264.2 271.2 272 275.2 276.2 277.2 278.2 279.2 280.1 281 289.2 290.2 291.2 292.2 293.1 341.2 345.2 346.3 349.2 363.3 364.2 365.2 431.3 432.2 433.3 437.3 438.2 439.3,1624 25552 8193 39000 27688 147584 10253 68768 3230 2433 410 1520 1872 10673 12629 523520 72000 20552 41280 56648 17168 88184 5707 3683 528 2866 6753 66352 18904 136960 13568 11792 78072 1846784 187264 1144320 80152 53344 5324 4227 1297 19752 25312 461120 29104 26616 61008 16856 13509 20296 3821 9964 963 4582 506 2131 701 8399 10399 134848 17248 31696 8236 15080 2150 5307 639 903 8319 28376 2453504 167552 42152 5562 37288 128400 515776 53376 30920 2508 1644 153 2011 525 5436 1076 6548 13031 411136 185664 98496 68496 196288 27400 19128 2050 1011 491 4659 1466368 217152 119320 18064 49872 29872 2034688 323072 423232 53096 24776 2219 1059 9498 37264 43768 186688 60272 738048 93784 33600 6570 8877 1582 1232 292 649 283 1004 842 35184 1073152 171904 50352 9564 1363 1674 253 260 275 488 11590 524032 72736 24488 2179 11710 8934 8242 1680 937 188 354 251 6638 109936 88672 15964 30120 384064 75808 31728 4854 1041 424 192 573 59320 13077 443776 109824 43272 7028 1527 161 241 197 317 161 194 17032 4624 133504 27264 13473 2108 522 222 342 10276 3309 89280 18296 7978 972 283 167 7389 1694 1381 305 3169 3450 791 337 208 171 1390592 314624 132608 19584 3830 387 347 2217 10354 4716 1488 465 159 276 154 320 3733 1206 689 684 212 162 680 198 208 ,0.04581,2.9343,0.993,0.9907
5,Serum,HMDB00161,Alanine,ALA,"N,O-Bis-(trimethylsilyl)alanine",233,16.161,1098,42 43 43.9 45 46.9 55 56.9 58 59 61 73 73.9 74.9 85.9 87.3 93.95 100.05 101.05 101.95 102.95 104.85 115.95 116.95 117.95 129.75 130.85 132.95 147 148 149 190.05 191.05,4885 13636 9443 25344 4353 2608 2107 4492 11076 2386 50992 5240 7577 2711 904 736 5090 1640 1643 2770 556 38256 5174 1388 564 908 2067 11754 1693 1043 3973 642,-0.0056,0.0008,,
38,Organic Acid,,alpha-Hydroxylsobutyric acid ,,,,9.527,1060.96,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49 50.1 51.1 52.1 53 54 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64 65.2 66.1 68 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 83.1 84.1 85.1 86.1 87.1 88.1 89 90 91 92 93 94.1 95.1 98 99.1 100.1 101.1 103 104.1 105.1 106 107 108.2 109.1 110.9 112 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120 121 121.9 124.9 127.1 129.1 131.2 132.1 133.1 134.1 135.1 136.1 137 140 141.1 142.2 143.1 144.1 145.1 147.1 148.1 149.1 150.1 151.1 152 155.9 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.2 170 171 173 174.1 175.1 176.1 177.1 178.1 180.1 187.1 189.1 190.1 191.1 192.1 193.1 194.1 200.9 203.2 205.2 206.2 207.1 208.1 209.1 210.1 215 217.1 218.1 219.1 220.1 221.1 222.1 223.1 229 231.1 233.2 234.2 235.2 236.1 237.1 249 263.1 264.2 279 281 295.1 296.2 296.9 321.2 322.2 323.1 395.3,2534 33880 14460 68440 34624 167488 11561 37976 1988 1220 434 2848 11223 2982 655 11479 5042 15995 32888 60600 9447 40440 2832 1817 238 1135 102928 1288 58432 17120 11439 53912 2219520 200960 314432 21000 23288 2896 1215 4478 15538 2176 1299 5755 2304 17272 5623 4944 799 1189 324 776 4904 189632 683 9328 3369 67448 33904 4181 11500 1232 1185 360 19568 503 284 6174 2315 117904 24768 83760 10701 17248 3232 1161 227 227 572 14945 4429824 573376 370688 36872 16279 1524 500 211 383 958 106536 13855 11726 2649088 425280 239680 25440 6668 540 162 2948 987 1448 424 2297 552 24248 4226 1930 248 276 242 1439 2017 8585 1347 910 177 154 170 15561 58880 17824 6523 1364 358 218 1356 867456 166592 77488 10214 2240 175 949 42088 7775 5868 826 1642 302 173 197 10541 291136 59272 25728 3731 662 287 307 158 160 365 1030 221 157 1105 264 293 179 ,0.01497,2.33713,0.9949,0.9936
15,Serum,HMDB00191,Aspartic acid,ASP,"N,N,o'-Tris-(trimethylsilyl)aspartic acid",349,25.095,1424,43 44 45 46 47 58 59 70 73 74 75 84 86 98.05 98.95 99.95 101.05 101.95 102.95 114.95 115.95 116.95 118.05 118.95 128.05 129.85 130.95 131.95 132.95 133.85 135 142 147 148 149 174 188.05 201.95 204.05 215.95 218.05 218.95 232 233 234.1 305.95,11699 6232 33304 2631 7311 4745 8197 2272 108368 11084 19936 770 1348 1166 1143 20840 3006 1127 1667 1659 778 2557 623 797 772 2523 1526 1416 4330 660 514 1370 8320 1771 1492 992 1554 1533 996 1103 2669 621 10873 2699 989 799,-0.0197,0.0012,,
105,Saliva,NA,Aspartic acid,NA,Aspartic acid,NA,,1503,43 44 45 47 58 59 70 73 74 75 82 82.9 84 84.9 86 87 87.95 89.05 97.95 99.05 100.05 100.95 101.95 102.95 103.95 104.95 112.05 113.05 114.05 114.95 116.05 116.95 117.95 118.95 127.95 128.95 129.95 130.95 131.95 132.95 133.95 135 142 143 144 145 147 148 149 150 157.9 159 159.9 161 163 164.1 172.1 173 174 175 176 176.9 184.05 188.05 189.05 190.05 190.85 201.95 202.95 204.05 205.05 216.05 217.05 218.05 218.95 219.95 220.95 232.1 233.1 234 235.1 243.9 245.1 246 292.05 306.05 306.95 308.05 334.1 335.1 349.1,32360 18016 88736 15336 10988 25584 8750 324224 31760 55392 714 967 2343 1308 3081 1208 854 1125 3300 3141 77632 10135 4101 5793 1001 835 507 501 1660 5559 2711 10535 2001 4511 2833 1386 8567 6341 4832 16002 2620 1712 3952 1376 1844 607 36664 6072 6621 956 964 744 627 519 1486 500 2842 1109 4941 1132 1105 1340 576 9167 2091 1604 821 10513 1781 4166 1050 6562 1765 16752 3562 1191 893 76768 15234 6526 1082 790 777 925 2068 4830 1178 722 1355 533 796 ,,,,
70,Organic Acid,,"Azelaic acid, bis-TMS",,,,26.262,1806.26,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48 49.1 50 51.1 52.1 53.1 54.2 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63 64 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102.1 103.1 104 105.1 106.2 107.1 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120.1 121.1 122.2 123.2 124.1 125.1 126.2 127.1 128.2 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.1 138.1 139.1 140.1 141.1 142.1 143.1 144.1 145.1 146.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154.2 155.1 156.1 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.2 167.1 168.1 169.2 170.2 171.1 172.1 173.1 174.1 175.1 176.1 177.1 178.1 179.1 180.1 181.1 182.2 183.2 184.2 185.1 186.1 187.1 188.2 189.1 190.1 191.1 192.1 193.1 194.1 195 196.1 197.1 198.2 199.2 200.2 201.2 202.2 203.2 204.2 205.2 206.2 207.1 208.2 209.2 210.2 211.1 212.2 213.2 214.2 215.2 216.2 217.2 218.2 219.2 220.2 221.1 222 223.1 224.2 225.2 226.2 227.2 228.1 229.1 230.1 231.2 232.2 233.2 234.2 235.1 237.3 239.2 240.2 241.2 242.2 243.2 244.2 245.2 246.2 247.2 248.1 249.1 250.1 251 253 254.1 255.2 256.1 257.2 258.2 259.2 260.2 261.2 262.2 263.1 264 265 267.1 269.1 270.1 271.2 272.2 273.2 274.2 275.2 276.2 277.2 278.2 279.2 281 282 283.2 284.2 285.2 285.9 287.2 288.3 289.2 290.2 291.2 292.1 293 298.3 299.2 300.2 301.2 302.2 303.2 304.1 305.1 313.3 317.3 318.3 319.2 320.2 321.3 322.2 331.2 332.3 333.3 334.2 335.2 341 373.2 375 391.2 405.3 406.3 407.3 479.3,2214 39416 13517 74552 19320 90024 6360 41168 2085 1461 382 805 930 7001 7025 400960 30008 28328 21688 35032 11034 63864 4326 2792 196 2102 3146 120568 14785 89624 11627 17528 78584 1386496 147392 1001984 72680 51368 4112 96984 17704 127888 25240 216640 23128 25784 17000 11247 14353 28344 4522 32792 4840 112544 10468 31160 33912 188608 37984 40624 6298 29280 6177 17968 2588 26736 6971 175040 18608 75472 28840 172736 15769 7495 2783 21544 163136 619136 65112 32232 2744 4764 2012 86664 145728 102416 9767 8109 8183 611392 86128 94328 75896 141824 29432 124688 12728 26624 2763 2768 774 15322 9285 67944 10746 116264 20848 683520 116336 843904 125296 141312 701440 171328 17504 36376 32400 55976 12509 58744 9080 6340 19360 12307 3203 12709 2351 11124 2511 35056 27832 219264 45992 31720 11152 4617 1277 3756 707 2207 1150 16267 4947 190016 33384 172736 41128 26224 71592 65088 19800 42504 7519 5115 711 1156 1963 59640 14183 246464 97104 1408000 233984 103448 673024 151104 63232 10731 2457 80456 13990 8667 1312 3345 153536 34016 11104 410432 94256 40688 6223 1667 234 828 2389 44272 8511 25856 4582 4065 937 29104 8118 3383 628 337 226 291 234 6100 47192 65432 12714 21904 6108 2630 1474 669 172 164 280 160 1385 392 12961 3229 13596 4868 2065 836 189 234 315 407 188 157 3056 3035 169088 42024 18536 14462 3100 1259 177 698 271 1847 540 558 157 1848 1741 6044 3171 862 341 200 224 14292 3720 29576 7297 3689 882 233 169 2145792 567936 228480 39600 7327 952 4390 4167 4236 1190 304 157 203 193 452 2586 943 378 289 ,0.00117,4.27021,0.9953,0.9941
112,Saliva,NA,Benzeneacetic acid,NA,Benzeneacetic acid,NA,,1815,43 44 45 47 59 73 74 75 83 84.8 87 89.05 89.95 91.05 92.05 93.05 94.95 96.95 99.05 101.05 101.95 102.95 104.05 104.95 114.95 116.05 116.95 117.95 118.95 121.05 122.85 130.95 131.95 132.95 133.85 135 145.1 147 148 149 150 151 161 161.9 162.9 164 164.8 174.1 175 175.8 177 179 180 181 181.95 191.05 193.05 194.05 194.95 206.05 206.95 208.95 222.95 224.95 226.05 237 238 238.9 251 252 253 254 265 267 268 269 270.1 281.05 282.05 294.05 340.1 341.1 369.15 370.15 371.05 384.15 385.15 386.15 387.05,17648 13938 98544 12274 9589 355584 28928 49792 1495 1405 1036 1835 854 4779 645 833 1336 729 1130 639 1085 4561 13797 5503 2769 697 3008 908 4170 1339 545 3696 584 6308 1073 4070 969 8655 1750 14619 2088 1374 2662 829 5511 1082 1102 649 611 864 3965 137984 21352 7234 541 1067 5718 1173 1066 1373 1560 2548 1131 3235 649 13371 2451 1543 1765 1147 4596 925 4839 41144 9409 3276 518 5256 939 755 1979 641 7498 2357 1163 41824 14417 5587 1410 ,,,,
