"hmdbID","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Corr.Spearman","matchMZrate","matchMZnum","sampleMZnum","TScore","Area","RT.start","RT.end","peakType"
"HMDB00162","Proline (TMS)","12.964","777.825","1189.058","179167","335.013","98.52","63.41","57.14","88","90","58.33","38982887","12.773","13.155","SKEWED"
"HMDB00162","Proline (TMS)","13.021","781.261","1190.773","237878","355.467","96.12","73.31","64.94","100","106","62.36","51757138","12.83","13.212","SKEWED"
"HMDB00162","Proline (TMS)","13.116","786.987","1193.614","182808","338.601","92.16","64.27","58.44","90","92","57.81","39775090","12.926","13.307","SKEWED"
"HMDB00172","Isoleucine (TMS)","13.231","793.858","1196.996","387374","131.262","93.18","36.12","71.07","113","142","58.11","84284254","13.04","13.422","SKEWED"
"HMDB00172","Isoleucine (TMS)","13.288","797.293","1198.676","181517","212.957","90.86","48.12","56.6","90","97","52.86","39495921","13.097","13.479","SKEWED"
"HMDB00883","Valine (2TMS)","14.122","847.299","1231.999","159129","225.91","93.1","22.54","43.18","76","81","46.99","34624561","13.931","14.313","SKEWED"
"HMDB00883","Valine (2TMS)","14.204","852.261","1235.253","181741","133.153","97.51","26.63","49.43","87","93","48.21","39542934","14.013","14.395","SKEWED"
"HMDB00883","Valine (2TMS)","14.236","854.17","1236.499","174758","175.943","99.19","31.95","48.3","85","91","49.26","38025244","14.045","14.427","SKEWED"
"HMDB00883","Valine (2TMS)","14.281","856.842","1238.24","165879","126.258","98.47","21.64","45.45","80","90","46.21","36093280","14.09","14.472","SKEWED"
"HMDB00883","Valine (2TMS)","14.3","857.987","1238.984","164849","259.442","97.47","25.35","47.16","83","93","50.86","35867598","14.109","14.491","SKEWED"
"HMDB00883","Valine (2TMS)","14.344","860.659","1240.716","158605","108.718","95.14","15.26","44.32","78","85","44.45","34509038","14.153","14.535","SKEWED"
"HMDB00883","Valine (2TMS)","14.433","866.003","1244.165","158366","246.239","90.54","31.58","43.18","76","81","47.09","34457037","14.243","14.624","SKEWED"
"HMDB00294","Urea","14.656","879.364","1252.696","155111","234.082","90.15","31.78","48.77","79","84","49.44","33748819","14.465","14.847","SKEWED"
"HMDB00294","Urea","14.713","882.799","1254.868","153729","234.406","93.05","26.27","46.3","75","79","48.79","33448125","14.522","14.904","SKEWED"
"HMDB00294","Urea","14.771","886.235","1257.033","211910","280.515","95.93","29.59","64.81","105","118","60.01","46107060","14.58","14.961","SKEWED"
"HMDB00294","Urea","14.841","890.434","1259.667","220014","204.358","99.43","23.22","63.58","103","109","57.81","47870316","14.65","15.031","SKEWED"
"HMDB00294","Urea","14.936","896.16","1263.238","341667","285.859","95.86","53.88","61.73","100","107","58.61","74339393","14.745","15.127","SKEWED"
"HMDB00294","Urea","15.012","900.74","1266.079","194984","264.275","92.13","46.79","61.11","99","108","56.91","42424326","14.821","15.203","SKEWED"
"HMDB00187","Serine (2TMS)","15.063","903.794","1267.965","178386","296.985","90.88","34.86","50.85","90","101","52.51","38814653","14.872","15.254","SKEWED"
"HMDB00187","Serine (2TMS)","15.089","905.321","1268.905","167253","234.762","92.13","23.92","46.33","82","89","48.63","36392246","14.898","15.28","SKEWED"
"HMDB00187","Serine (2TMS)","15.19","911.429","1272.652","170906","216.256","97.06","28.9","54.8","97","108","53.3","37185471","15","15.381","SKEWED"
"HMDB00187","Serine (2TMS)","15.203","912.192","1273.118","165295","255.657","97.67","37.07","51.41","91","102","52.91","35966208","15.012","15.394","SKEWED"
