"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","Lactic acid","Lactic acid","9.395","563.683","1075.437","4002893",798.803,"99.32",108142249,"9.344","9.446","0.083"
"HMDB01987","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-2-methylbutyric acid","11.742","704.539","1148.314","663411",747.073,"99",23655184,"11.691","11.8","0.009"
"HMDB00700","beta-Lactate","beta-Lactate","12.048","722.862","1158.381","2276086",794.171,"98.96",65590644,"11.99","12.111","0.406"
"HMDB00357","3-hydroxybutyric acid","3-hydroxybutyric acid","12.563","753.781","1174.805","8440907",515.428,"97.92",252135368,"12.506","12.658","0.212"
"HMDB00754","3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","13.899","833.943","1220.645","1488011",680.027,"99.31",49838072,"13.848","13.944","0.23"
"HMDB00202","Methylmalonic acid","Methylmalonic acid","14.09","845.395","1228.294","1141001",617.578,"99.99",248268126,"13.899","14.281","0.111"
"HMDB00254","Succinic acid","Succinic acid","16.565","993.886","1324.953","4831436",799.271,"98.22",134528898,"16.514","16.647","0.333"
"HMDB01844","2-Methylsuccinic acid","2-Methylsuccinic acid","16.864","1011.83","1338.097","930112",759.828,"99.65",32262502,"16.819","16.947","<LOD"
"HMDB02453","4-Deoxythreonate","4-Deoxythreonate","17.729","1063.74","1374.849","1353748",802.066,"98.52",38980669,"17.678","17.78","2.524"
"HMDB00355","3-Hydroxymethylglutaric acid","3-Hydroxymethylglutaric acid","20.261","1215.67","1490.075","2132757",677.565,"99.07",68217346,"20.172","20.293","0.064"
"HMDB00448","Adipic acid","Adipic acid","20.776","1246.59","1515.329","2525910",754.857,"98.9",71244140,"20.738","20.834","0.014"
"HMDB00267","Pyroglutamic acid ","Pyroglutamic acid ","21.146","1268.73","1534.363","1674191",679.293,"99.28",60554992,"21.095","21.209","0.297"
"HMDB00555","3-Methyladipic acid","3-Methyladipic acid","21.381","1282.85","1546.329","1081761",735.487,"98.93",33920665,"21.343","21.425","<LOD"
"HMDB02432","Sumiki's acid","Sumiki's acid","21.692","1301.55","1561.975","2919763",790.183,"99.67",80086429,"21.648","21.769","0.043"
"HMDB00669","o-Hydroxyphenylacetic acid ","o-Hydroxyphenylacetic acid ","22.036","1322.17","1578.97","1550463",626.723,"98.33",52823146,"21.985","22.113","<LOD"
"HMDB00857","Pimelic acid ","Pimelic acid ","22.704","1362.25","1613.063","1801743",767.627,"98.91",65213438,"22.634","22.768","<LOD"
"HMDB00440","m-Hydroxyphenylacetic acid","m-Hydroxyphenylacetic acid","22.812","1368.74","1619.026","2463841",706.348,"100",67886713,"22.768","22.851","0.014"
"HMDB00500","p-Hydroxybenzoic acid ","p-Hydroxybenzoic acid ","23.13","1387.82","1636.395","2330739",665.525,"99.98",72503678,"23.061","23.181","0.008"
"HMDB00020","p-Hydroxyphenylacetic acid","p-Hydroxyphenylacetic acid","23.385","1403.09","1650.124","12014853",804.369,"98.61",326128618,"23.315","23.442","0.129"
"HMDB00439","2-Furoylglycine","2-Furoylglycine","23.671","1420.27","1665.394","1955123",678.188,"99.64",78439329,"23.614","23.76","0.048"
"HMDB00893","Suberic acid","Suberic acid","24.46","1467.6","1707.409","2253964",779.87,"99.62",59674422,"24.416","24.498","0.018"
"HMDB00958","trans-Aconitic acid","trans-Aconitic acid (3TMS)","25.516","1530.97","1767.657","4397617",748.956,"99.76",139542164,"25.446","25.58","0.071"
"HMDB00118","Homovanillic acid","Homovanillic acid","25.828","1549.68","1784.969","4765670",776.667,"99.34",161421047,"25.739","25.892","0.032"
"HMDB00784","Azelaic acid","Azelaic acid, bis-TMS","26.197","1571.82","1805.858","4898474",790.635,"99.63",136741453,"26.152","26.292","0.039"
"HMDB00714","Hippuric acid ","Hippuric acid ","27.005","1620.29","1854.74","15590869",781.684,"94.22",1300434383,"26.871","27.018","0.498"
"HMDB02643","HPHPA","HPHPA","27.285","1637.09","1871.342","1911878",662.469,"99.34",74933203,"27.209","27.349","0.017"
"HMDB00291","Vanillylmandelic acid","Vanillylmandelic acid","27.832","1669.92","1903.598","3699293",685.27,"99.67",147643320,"27.756","27.889","0.041"
"HMDB00755","Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","28.093","1685.57","1919.968","1810625",716.358,"99.92",52628362,"28.048","28.131","0.007"
"HMDB00220","Hexadecanoic acid (Palmitic acid)","Hexadecanoic acid (Palmitic acid)","30.129","1807.72","2050.505","1604029",724.473,"99.91",30252507,"30.084","30.173","<LOD"
"HMDB06116","m-Hydroxyhippuric acid","m-Hydroxyhippuric acid","31.732","1903.92","2158.01","2293117",762.08,"99.01",78178163,"31.675","31.789","0.04"
"HMDB00827","Octadecanoic acid (Stearic acid)","Octadecanoic acid (Stearic acid)","33.017","1981.02","2247.74","1956914",745.212,"98.62",49875852,"32.953","33.062","0.079"
"HMDB00067","Cholesterol","Cholesterol","44.074","2644.46","3178.818","17262620",701.657,"99.38",822416303,"43.953","44.221","ISTD"
