"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","Lactic acid","Lactic acid","9.401","564.052","1075.598","2736249",796.793,"99.07",69178056,"9.356","9.452","0.051"
"HMDB01987","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-2-methylbutyric acid","11.748","704.908","1148.519","409011",726.423,"99.3",15336649,"11.698","11.799","0.003"
"HMDB00700","beta-Lactate","beta-Lactate","12.047","722.849","1158.374","1191537",796.449,"98.97",33403594,"11.997","12.105","0.215"
"HMDB00357","3-hydroxybutyric acid","3-hydroxybutyric acid","12.556","753.387","1174.6","3628496",562.6,"98.21",114703133,"12.506","12.652","0.086"
"HMDB00754","3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","13.899","833.93","1220.636","817885",607.22,"99.32",27401744,"13.854","13.943","0.118"
"HMDB00622","Ethylmalonic acid","Ethylmalonic acid","15.788","947.302","1292.127","1079334",724.887,"99.98",140916228,"15.598","15.827","0.037"
"HMDB00254","Succinic acid","Succinic acid","16.571","994.254","1325.225","7325242",801.817,"97.88",195314957,"16.507","16.635","0.436"
"HMDB01844","2-Methylsuccinic acid","2-Methylsuccinic acid","16.863","1011.81","1338.083","1028314",772.115,"99.67",30401162,"16.819","16.933","<LOD"
"HMDB02453","4-Deoxythreonate","4-Deoxythreonate","17.723","1063.35","1374.58","856652",803.002,"98.85",26664122,"17.671","17.78","1.596"
"HMDB00661","Glutaric acid","Glutaric acid","18.537","1112.21","1409.365","376926",511.998,"94.47",82000251,"18.346","18.728","0.023"
"HMDB00355","3-Hydroxymethylglutaric acid","3-Hydroxymethylglutaric acid","20.255","1215.27","1489.776","1028258",576.648,"99.4",31538235,"20.191","20.286","0.035"
"HMDB00156 ","L-Malic acid","L-Malic acid","20.617","1237.03","1507.006","358016",575.419,"99.98",77886381,"20.426","20.808","0.391"
"HMDB00448","Adipic acid","Adipic acid","20.776","1246.57","1515.312","1414445",724.533,"98.88",39743546,"20.745","20.827","<LOD"
"HMDB00267","Pyroglutamic acid ","Pyroglutamic acid ","21.145","1268.71","1534.346","1313071",709.43,"99.3",47295322,"21.094","21.209","0.234"
"HMDB00555","3-Methyladipic acid","3-Methyladipic acid","21.387","1283.22","1546.641","761939",708.61,"99.27",25972452,"21.342","21.432","<LOD"
"HMDB02432","Sumiki's acid","Sumiki's acid","21.692","1301.54","1561.967","4076969",797.797,"99.68",104256666,"21.648","21.762","0.049"
"HMDB00669","o-Hydroxyphenylacetic acid ","o-Hydroxyphenylacetic acid ","22.036","1322.16","1578.961","1037641",557.859,"98.32",31411357,"21.985","22.074","<LOD"
"HMDB00208","Oxoglutaric acid","Oxoglutaric acid","22.335","1340.1","1593.533","7935983",750.866,"99.33",220652985,"22.278","22.411","0.111"
"HMDB00857","Pimelic acid ","Pimelic acid ","22.704","1362.24","1613.054","1308062",762.778,"98.9",45120958,"22.64","22.767","<LOD"
"HMDB00440","m-Hydroxyphenylacetic acid","m-Hydroxyphenylacetic acid","22.812","1368.72","1619.008","827531",669.573,"99.98",24009149,"22.767","22.844","0.001"
"HMDB00500","p-Hydroxybenzoic acid ","p-Hydroxybenzoic acid ","23.13","1387.81","1636.386","1334294",700.143,"99.98",39679223,"23.079","23.175","<LOD"
"HMDB00020","p-Hydroxyphenylacetic acid","p-Hydroxyphenylacetic acid","23.372","1402.32","1649.436","6993984",794.501,"97.91",181925797,"23.315","23.442","0.017"
"HMDB00439","2-Furoylglycine","2-Furoylglycine","23.665","1419.88","1665.049","2058391",711.896,"99.3",74799217,"23.601","23.709","0.043"
"HMDB00893","Suberic acid","Suberic acid","24.46","1467.59","1707.4","2016381",784.129,"99.61",56822217,"24.409","24.504","0.016"
"HMDB00958","trans-Aconitic acid","trans-Aconitic acid (3TMS)","25.516","1530.96","1767.648","3474985",717.011,"99.75",120845037,"25.44","25.579","0.049"
"HMDB00118","Homovanillic acid","Homovanillic acid","25.828","1549.66","1784.951","5098059",784.978,"99.32",149178940,"25.751","25.891","0.026"
"HMDB00784","Azelaic acid","Azelaic acid, bis-TMS","26.19","1571.42","1805.448","3508203",788.092,"99.25",88801078,"26.152","26.235","0.023"
"HMDB02643","HPHPA","HPHPA","27.278","1636.69","1870.949","1708651",679.015,"99.69",57425367,"27.227","27.348","0.012"
"HMDB00291","Vanillylmandelic acid","Vanillylmandelic acid","27.832","1669.91","1903.587","3618406",725.377,"99.68",111355039,"27.768","27.87","0.027"
"HMDB00755","Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","28.093","1685.56","1919.957","1008311",589.397,"99.91",28377545,"28.055","28.124","0.001"
"HMDB00220","Hexadecanoic acid (Palmitic acid)","Hexadecanoic acid (Palmitic acid)","30.128","1807.71","2050.493","1557987",763.74,"99.92",30188750,"30.078","30.179","<LOD"
"HMDB06116","m-Hydroxyhippuric acid","m-Hydroxyhippuric acid","31.732","1903.9","2157.988","951202",739.269,"98.99",33837004,"31.687","31.783","0.026"
"HMDB00827","Octadecanoic acid (Stearic acid)","Octadecanoic acid (Stearic acid)","33.023","1981.39","2248.199","2054472",761.417,"98.96",52200425,"32.953","33.081","0.078"
"HMDB00067","Cholesterol","Cholesterol","44.087","2645.21","3180.008","18043896",728.874,"98.75",892618852,"43.953","44.233","ISTD"
