"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","Lactic acid","Lactic acid","9.401","564.056","1075.6","1284097",779.193,"99.07",26375470,"9.35","9.439","0.024"
"HMDB01987","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-2-methylbutyric acid","11.742","704.53","1148.309","562585",754.39,"99",20137762,"11.691","11.799","0.007"
"HMDB00700","beta-Lactate","beta-Lactate","12.041","722.471","1158.169","306693",550.602,"99.27",10806270,"11.997","12.086","0.104"
"HMDB00357","3-hydroxybutyric acid","3-hydroxybutyric acid","12.557","753.391","1174.602","2407526",529.254,"98.21",71590781,"12.506","12.639","0.055"
"HMDB00754","3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","13.899","833.935","1220.639","1268850",708.163,"99.32",43620942,"13.854","13.95","0.198"
"HMDB02453","4-Deoxythreonate","4-Deoxythreonate","17.742","1064.5","1375.374","1150944",801.969,"97.89",32851443,"17.691","17.786","2.09"
"HMDB00355","3-Hydroxymethylglutaric acid","3-Hydroxymethylglutaric acid","20.261","1215.66","1490.067","961923",621.56,"99.07",25150910,"20.197","20.28","0.032"
"HMDB00448","Adipic acid","Adipic acid","20.783","1246.96","1515.65","1587394",760.02,"99.25",45883761,"20.738","20.84","0.003"
"HMDB00267","Pyroglutamic acid ","Pyroglutamic acid ","21.158","1269.48","1535.002","1463100",726.925,"98.59",45267005,"21.107","21.209","0.237"
"HMDB00555","3-Methyladipic acid","3-Methyladipic acid","21.387","1283.22","1546.641","910237",748.543,"99.27",29753223,"21.342","21.438","<LOD"
"HMDB02432","Sumiki's acid","Sumiki's acid","21.699","1301.93","1562.291","684684",747.711,"99.34",23195864,"21.654","21.762","0.019"
"HMDB00669","o-Hydroxyphenylacetic acid ","o-Hydroxyphenylacetic acid ","22.042","1322.54","1579.272","743242",612.74,"98.65",26380866,"21.998","22.106","<LOD"
"HMDB00857","Pimelic acid ","Pimelic acid ","22.704","1362.24","1613.054","853519",758.017,"98.9",32903067,"22.64","22.761","<LOD"
"HMDB00440","m-Hydroxyphenylacetic acid","m-Hydroxyphenylacetic acid","22.812","1368.73","1619.017","5314827",793.471,"99.99",131675391,"22.761","22.863","0.031"
"HMDB00500","p-Hydroxybenzoic acid ","p-Hydroxybenzoic acid ","23.13","1387.82","1636.395","1039769",636.781,"99.98",42779458,"23.086","23.226","<LOD"
"HMDB00020","p-Hydroxyphenylacetic acid","p-Hydroxyphenylacetic acid","23.378","1402.7","1649.776","9162860",803.644,"98.26",235413731,"23.315","23.423","0.062"
"HMDB00893","Suberic acid","Suberic acid","24.46","1467.6","1707.409","834614",759.937,"99.62",26907156,"24.409","24.498","0.008"
"HMDB00958","trans-Aconitic acid","trans-Aconitic acid (3TMS)","25.51","1530.58","1767.294","3148449",766.668,"99.42",101821186,"25.44","25.573","0.04"
"HMDB00118","Homovanillic acid","Homovanillic acid","25.822","1549.29","1784.611","5496949",790.401,"99",157553957,"25.745","25.885","0.03"
"HMDB00784","Azelaic acid","Azelaic acid, bis-TMS","26.19","1571.42","1805.448","601505",672.805,"99.25",130914556,"26","26.381","0.036"
"HMDB00714","Hippuric acid ","Hippuric acid ","26.947","1616.85","1851.319","13449613",734.054,"97.29",653145632,"26.808","27.03","0.252"
"HMDB02643","HPHPA","HPHPA","27.272","1636.32","1870.585","1432595",679.653,"99.99",42797258,"27.234","27.317","0.009"
"HMDB00291","Vanillylmandelic acid","Vanillylmandelic acid","27.832","1669.91","1903.587","4874607",766.064,"99.68",145303408,"27.755","27.883","0.04"
"HMDB00755","Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","28.093","1685.56","1919.957","691045",658.07,"99.91",150336840,"27.902","28.284","0.027"
"HMDB00220","Hexadecanoic acid (Palmitic acid)","Hexadecanoic acid (Palmitic acid)","30.128","1807.71","2050.493","1782995",757.604,"99.92",39747203,"30.078","30.211","0.002"
"HMDB06116","m-Hydroxyhippuric acid","m-Hydroxyhippuric acid","31.732","1903.91","2157.999","980360",727.541,"99",38393406,"31.668","31.789","0.028"
"HMDB00827","Octadecanoic acid (Stearic acid)","Octadecanoic acid (Stearic acid)","33.017","1981.01","2247.728","2224128",775.672,"98.61",51454890,"32.953","33.074","0.08"
"HMDB00067","Cholesterol","Cholesterol","44.074","2644.45","3178.802","16487642",729.026,"99.39",837853270,"43.953","44.29","ISTD"
