"HMDB_ID","Compound","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Area","RT.start","RT.end","Concentration"
"HMDB00190","Lactic acid","Lactic acid","9.395","563.675","1075.434","2740766",787.052,"99.33",71165742,"9.344","9.439","0.054"
"HMDB01987","2-Hydroxy-2-methylbutyric acid","2-Hydroxy-2-methylbutyric acid","11.742","704.531","1148.309","990963",751.519,"99",33945922,"11.691","11.793","0.015"
"HMDB00700","beta-Lactate","beta-Lactate","12.048","722.854","1158.377","1958911",789.942,"98.97",60279843,"11.99","12.111","0.365"
"HMDB00357","3-hydroxybutyric acid","3-hydroxybutyric acid","12.563","753.773","1174.801","9323976",526.195,"97.93",287914344,"12.506","12.677","0.234"
"HMDB00754","3-Hydroxyisovaleric acid","3-Hydroxyisovaleric acid","13.899","833.935","1220.639","2353298",700.423,"99.32",75457829,"13.854","13.95","0.334"
"HMDB00202","Methylmalonic acid","Methylmalonic acid","14.09","845.387","1228.289","1390521",625.225,"100",302560683,"13.899","14.281","0.148"
"HMDB01844","2-Methylsuccinic acid","2-Methylsuccinic acid","16.876","1012.58","1338.641","1637859",762.918,"98.98",49005408,"16.825","16.953","0.005"
"HMDB02453","4-Deoxythreonate","4-Deoxythreonate","17.735","1064.11","1375.105","1919243",800.844,"98.21",52905473,"17.684","17.786","3.296"
"HMDB00661","Glutaric acid","Glutaric acid","18.632","1117.94","1414.028","3000062",534.405,"99.99",127832921,"18.581","18.734","0.045"
"HMDB00355","3-Hydroxymethylglutaric acid","3-Hydroxymethylglutaric acid","20.261","1215.66","1490.067","1520041",613.589,"99.07",56384774,"20.172","20.287","0.054"
"HMDB00156 ","L-Malic acid","L-Malic acid","20.63","1237.8","1507.679","599716",523.794,"99.24",130468216,"20.439","20.821","0.679"
"HMDB00448","Adipic acid","Adipic acid","20.783","1246.96","1515.65","5100576",768.724,"99.25",136212844,"20.738","20.84","0.039"
"HMDB00267","Pyroglutamic acid ","Pyroglutamic acid ","21.158","1269.48","1535.002","1677883",676.87,"98.59",60097348,"21.095","21.203","0.287"
"HMDB00555","3-Methyladipic acid","3-Methyladipic acid","21.387","1283.22","1546.641","2143701",770.972,"99.27",72086241,"21.349","21.483","0.007"
"HMDB02432","Sumiki's acid","Sumiki's acid","21.699","1301.93","1562.291","1770009",773.858,"99.34",48514473,"21.654","21.75","0.029"
"HMDB00669","o-Hydroxyphenylacetic acid ","o-Hydroxyphenylacetic acid ","22.042","1322.54","1579.272","1903034",619.63,"98.65",65429275,"21.979","22.119","0.001"
"HMDB00208","Oxoglutaric acid","Oxoglutaric acid","22.348","1340.86","1594.146","11069685",758.816,"99.97",344183168,"22.278","22.411","0.184"
"HMDB00857","Pimelic acid ","Pimelic acid ","22.717","1363","1613.754","8333703",801.581,"99.62",218560122,"22.634","22.768","0.051"
"HMDB00440","m-Hydroxyphenylacetic acid","m-Hydroxyphenylacetic acid","22.831","1369.88","1620.071","11874744",802.42,"98.93",336404423,"22.768","22.895","0.086"
"HMDB00500","p-Hydroxybenzoic acid ","p-Hydroxybenzoic acid ","23.137","1388.2","1636.739","2623408",630.752,"99.66",78579106,"23.079","23.188","0.009"
"HMDB00020","p-Hydroxyphenylacetic acid","p-Hydroxyphenylacetic acid","23.391","1403.47","1650.464","12818936",803.538,"98.95",360894287,"23.321","23.442","0.145"
"HMDB00439","2-Furoylglycine","2-Furoylglycine","23.677","1420.64","1665.72","1987656",641.68,"99.97",78184829,"23.614","23.76","0.046"
"HMDB00893","Suberic acid","Suberic acid","24.473","1468.36","1708.147","10337558",804.89,"99.66",277632369,"24.415","24.517","0.081"
"HMDB00375","3-(3-Hydroxyphenyl)propanoic acid","3-(3-Hydroxyphenyl)propanoic acid","24.982","1498.9","1737.486","1383870",728.879,"96.53",40074589,"24.937","25.02","<LOD"
"HMDB00958","trans-Aconitic acid","trans-Aconitic acid (3TMS)","25.516","1530.96","1767.648","3593383",708.836,"99.75",133167629,"25.44","25.573","0.062"
"HMDB00118","Homovanillic acid","Homovanillic acid","25.834","1550.05","1785.309","7898584",787.511,"99.65",244719621,"25.745","25.891","0.05"
"HMDB00784","Azelaic acid","Azelaic acid, bis-TMS","26.209","1572.57","1806.625","11955650",804.712,"99.66",343613224,"26.152","26.299","0.094"
"HMDB00714","Hippuric acid ","Hippuric acid ","26.973","1618.38","1852.841","16382168",596.218,"95.92",1006601208,"26.808","26.998","0.375"
"HMDB02643","HPHPA","HPHPA","27.304","1638.23","1872.463","13058779",707.226,"98.34",390630561,"27.24","27.387","0.088"
"HMDB00291","Vanillylmandelic acid","Vanillylmandelic acid","27.844","1670.67","1904.386","4910146",704.753,"98.98",191848508,"27.755","27.876","0.053"
"HMDB00755","Hydroxyphenyllactic acid","Hydroxyphenyllactic acid","28.099","1685.94","1920.353","1396304",665.282,"99.75",303765935,"27.908","28.29","0.057"
"HMDB00220","Hexadecanoic acid (Palmitic acid)","Hexadecanoic acid (Palmitic acid)","30.128","1807.71","2050.493","1893741",738.275,"99.92",36029281,"30.09","30.167","<LOD"
"HMDB06116","m-Hydroxyhippuric acid","m-Hydroxyhippuric acid","31.751","1905.05","2159.24","9549568",794.271,"99.96",285611073,"31.675","31.802","0.1"
"HMDB00827","Octadecanoic acid (Stearic acid)","Octadecanoic acid (Stearic acid)","33.017","1981.01","2247.728","2301889",751.061,"98.61",64763806,"32.953","33.068","0.09"
"HMDB00067","Cholesterol","Cholesterol","44.081","2644.83","3179.405","17816988",729.621,"99.07",853378341,"43.953","44.233","ISTD"
